Shipment_ID,Order_ID,Container_No,Shipping_Date,Arrival_Date,Port,Destination_Country,Shipping_Cost,Delay_Days,Shipment_Status
SHIP00032,ORD02875,CONT32916,2024-03-07,2024-04-16,Chennai Port,Germany,143914,9,In Transit
SHIP00033,ORD02464,CONT29532,2025-08-08,2025-09-03,Tuticorin Port,South Korea,124374,4,Delivered
SHIP00034,ORD00127,CONT99145,2025-10-02,2025-11-13,Chennai Port,USA,33483,4,In Transit
SHIP00035,ORD02611,CONT28076,2024-02-11,2024-03-23,Tuticorin Port,Vietnam,149901,6,Delivered
SHIP00036,ORD02904,CONT21238,2024-03-12,2024-04-23,Tuticorin Port,France,125526,9,In Transit
SHIP00037,ORD02548,CONT83204,2025-02-15,2025-03-23,Chennai Port,China,35058,2,In Transit
SHIP00038,ORD02809,CONT69897,2025-05-02,2025-06-14,Tuticorin Port,South Korea,125841,6,Delivered
SHIP00039,ORD01255,CONT17633,2024-04-21,2024-05-20,Tuticorin Port,China,147792,1,In Transit
SHIP00040,ORD00751,CONT46243,2024-07-25,2024-09-04,Chennai Port,Italy,42921,2,In Transit
SHIP00041,ORD01662,CONT53613,2025-06-26,2025-07-13,Chennai Port,Germany,71848,10,Delivered
SHIP00042,ORD02707,CONT81361,2024-05-23,2024-06-29,Chennai Port,Germany,62428,1,In Transit
SHIP00043,ORD01799,CONT83140,2025-09-01,2025-10-11,Chennai Port,Vietnam,41192,4,Delivered
SHIP00044,ORD00133,CONT62244,2025-10-06,2025-11-03,Chennai Port,UK,35140,1,Delivered
SHIP00045,ORD02043,CONT20359,2025-03-22,2025-04-08,Chennai Port,Germany,102443,7,In Transit
SHIP00046,ORD00792,CONT55235,2025-05-01,2025-06-14,Tuticorin Port,UK,68210,7,In Transit
SHIP00047,ORD00800,CONT93631,2024-07-20,2024-08-10,Chennai Port,USA,123493,9,In Transit
SHIP00048,ORD02494,CONT31870,2025-05-29,2025-07-07,Chennai Port,France,57399,8,Delivered
SHIP00049,ORD02006,CONT11834,2025-01-22,2025-02-26,Chennai Port,Spain,94165,0,In Transit
SHIP00050,ORD00973,CONT14269,2024-02-09,2024-03-10,Chennai Port,South Korea,45191,7,Delivered
SHIP00051,ORD02879,CONT11054,2024-06-04,2024-07-09,Chennai Port,UK,88777,9,Delivered
SHIP00052,ORD02888,CONT77442,2024-06-06,2024-07-01,Chennai Port,France,124924,6,In Transit
SHIP00053,ORD02444,CONT88543,2024-09-02,2024-10-05,Chennai Port,South Korea,140764,4,In Transit
SHIP00054,ORD02578,CONT67183,2024-01-02,2024-01-31,Tuticorin Port,France,54125,5,Delivered
SHIP00055,ORD00027,CONT70112,2024-01-04,2024-02-05,Chennai Port,Japan,132379,8,In Transit
SHIP00056,ORD02761,CONT27638,2024-08-07,2024-08-31,Tuticorin Port,UK,53953,2,In Transit
SHIP00057,ORD02750,CONT78323,2025-11-29,2025-12-24,Chennai Port,Japan,60644,2,Delivered
SHIP00058,ORD01292,CONT64768,2024-10-19,2024-11-20,Chennai Port,Vietnam,97577,10,Delivered
SHIP00059,ORD01221,CONT45497,2024-05-24,2024-06-27,Tuticorin Port,Spain,85684,0,Delivered
SHIP00060,ORD00359,CONT64390,2025-07-10,2025-08-21,Chennai Port,South Korea,145649,2,Delivered
SHIP00061,ORD00768,CONT36192,2025-07-18,2025-08-24,Chennai Port,USA,90235,1,In Transit
SHIP00062,ORD00734,CONT34683,2024-11-06,2024-12-21,Tuticorin Port,China,143113,8,In Transit
SHIP00063,ORD00385,CONT70120,2024-08-08,2024-09-13,Chennai Port,Japan,31917,0,In Transit
SHIP00064,ORD01792,CONT23021,2025-02-08,2025-03-21,Tuticorin Port,Spain,63574,1,In Transit
SHIP00065,ORD02909,CONT14679,2024-06-11,2024-07-01,Tuticorin Port,South Korea,113000,8,In Transit
SHIP00066,ORD01719,CONT25675,2025-08-12,2025-09-23,Chennai Port,Vietnam,44191,8,Delivered
SHIP00067,ORD00930,CONT48568,2024-01-30,2024-03-01,Chennai Port,Germany,149898,3,Delivered
SHIP00068,ORD01680,CONT22130,2025-11-06,2025-11-30,Chennai Port,UK,30566,0,Delivered
SHIP00069,ORD02647,CONT39229,2024-09-11,2024-10-26,Tuticorin Port,South Korea,141537,5,In Transit
SHIP00070,ORD02341,CONT55025,2025-07-15,2025-08-28,Chennai Port,China,142567,5,In Transit
SHIP00071,ORD02361,CONT58904,2025-06-29,2025-07-18,Chennai Port,South Korea,44074,6,Delivered
SHIP00072,ORD00371,CONT89229,2025-10-31,2025-12-06,Chennai Port,Vietnam,45614,3,In Transit
SHIP00073,ORD01602,CONT62709,2024-03-21,2024-05-04,Chennai Port,UK,130723,3,In Transit
SHIP00074,ORD01562,CONT19327,2024-04-11,2024-04-26,Chennai Port,Germany,126952,8,In Transit
SHIP00075,ORD02919,CONT52959,2025-08-11,2025-09-10,Chennai Port,South Korea,49558,4,Delivered
SHIP00076,ORD01189,CONT97538,2024-09-22,2024-10-19,Tuticorin Port,Japan,131681,5,Delivered
SHIP00077,ORD00768,CONT11999,2025-05-16,2025-06-01,Tuticorin Port,USA,76374,7,Delivered
SHIP00078,ORD02455,CONT22449,2025-06-24,2025-07-13,Chennai Port,Vietnam,48463,7,Delivered
SHIP00079,ORD00801,CONT65949,2025-06-11,2025-07-21,Chennai Port,Japan,134346,3,Delivered
SHIP00080,ORD02342,CONT89026,2024-06-23,2024-08-01,Chennai Port,South Korea,146016,6,In Transit
SHIP00081,ORD00632,CONT19732,2024-10-17,2024-12-01,Tuticorin Port,Germany,113540,1,Delivered
SHIP00082,ORD01247,CONT90318,2025-08-31,2025-09-17,Tuticorin Port,Germany,129585,2,In Transit
SHIP00083,ORD01467,CONT10372,2024-10-06,2024-10-29,Tuticorin Port,Germany,128147,3,Delivered
SHIP00084,ORD02611,CONT96000,2025-11-01,2025-12-12,Chennai Port,UK,109281,0,In Transit
SHIP00085,ORD02625,CONT70046,2025-04-05,2025-04-29,Chennai Port,Spain,74009,3,Delivered
SHIP00086,ORD01763,CONT86986,2024-11-03,2024-11-24,Chennai Port,South Korea,58984,6,In Transit
SHIP00087,ORD00968,CONT15775,2025-07-02,2025-07-30,Tuticorin Port,Vietnam,93345,1,Delivered
SHIP00088,ORD00494,CONT90654,2024-12-04,2024-12-21,Chennai Port,France,60021,2,Delivered
SHIP00089,ORD01810,CONT20037,2024-04-06,2024-05-07,Tuticorin Port,USA,32489,7,In Transit
SHIP00090,ORD02294,CONT75051,2025-10-20,2025-11-24,Chennai Port,France,78173,7,In Transit
SHIP00091,ORD00737,CONT50018,2024-01-05,2024-01-21,Tuticorin Port,Germany,50287,9,In Transit
SHIP00092,ORD00004,CONT43647,2025-07-26,2025-08-25,Tuticorin Port,South Korea,76621,1,In Transit
SHIP00093,ORD01808,CONT20520,2024-10-18,2024-11-14,Chennai Port,UK,96946,3,In Transit
SHIP00094,ORD00065,CONT16846,2024-04-27,2024-05-29,Chennai Port,Spain,121412,10,In Transit
SHIP00095,ORD01006,CONT61314,2024-06-03,2024-07-14,Chennai Port,France,147301,3,Delivered
SHIP00096,ORD02840,CONT23815,2024-02-24,2024-03-21,Chennai Port,UK,61754,4,In Transit
SHIP00097,ORD00655,CONT82118,2024-12-27,2025-02-08,Chennai Port,France,33490,5,Delivered
SHIP00098,ORD02735,CONT71271,2025-07-25,2025-08-10,Chennai Port,UK,59396,6,In Transit
SHIP00099,ORD01372,CONT69085,2025-09-19,2025-10-11,Tuticorin Port,France,82665,8,Delivered
SHIP00100,ORD00832,CONT19565,2024-06-02,2024-07-16,Chennai Port,China,77190,0,Delivered
SHIP00101,ORD01177,CONT44614,2025-08-19,2025-10-01,Chennai Port,Vietnam,52298,4,In Transit
SHIP00102,ORD02757,CONT87017,2024-12-16,2025-01-03,Chennai Port,South Korea,75477,10,In Transit
SHIP00103,ORD00097,CONT42020,2024-04-04,2024-04-26,Chennai Port,Spain,144169,5,Delivered
SHIP00104,ORD00716,CONT56012,2024-07-02,2024-08-12,Tuticorin Port,UK,49099,4,Delivered
SHIP00105,ORD02618,CONT60028,2025-10-22,2025-11-25,Chennai Port,Italy,146308,5,Delivered
SHIP00106,ORD01845,CONT20406,2025-11-16,2025-12-06,Chennai Port,UK,124975,7,In Transit
SHIP00107,ORD02136,CONT20056,2025-02-11,2025-03-04,Chennai Port,China,118614,4,Delivered
SHIP00108,ORD01436,CONT55796,2024-02-06,2024-03-17,Tuticorin Port,Vietnam,131519,2,Delivered
SHIP00109,ORD01221,CONT58490,2024-02-02,2024-02-27,Tuticorin Port,USA,46487,10,In Transit
SHIP00110,ORD02981,CONT93124,2025-01-22,2025-02-19,Tuticorin Port,Japan,51355,9,In Transit
SHIP00111,ORD02724,CONT59777,2025-10-29,2025-11-30,Chennai Port,Japan,121866,9,Delivered
SHIP00112,ORD01654,CONT26041,2025-06-03,2025-07-08,Tuticorin Port,UK,98917,0,Delivered
SHIP00113,ORD00867,CONT76604,2025-03-16,2025-04-05,Chennai Port,Vietnam,83468,6,In Transit
SHIP00114,ORD00966,CONT18477,2025-02-21,2025-03-28,Tuticorin Port,UK,106405,6,Delivered
SHIP00115,ORD02795,CONT76937,2024-11-04,2024-12-16,Tuticorin Port,France,58513,10,Delivered
SHIP00116,ORD00051,CONT75785,2024-07-30,2024-09-05,Chennai Port,Japan,72033,4,In Transit
SHIP00117,ORD01320,CONT44945,2024-12-24,2025-01-20,Chennai Port,France,100033,1,In Transit
SHIP00118,ORD00797,CONT11350,2025-01-07,2025-02-11,Chennai Port,China,105619,3,Delivered
SHIP00119,ORD02744,CONT60912,2024-12-03,2024-12-22,Tuticorin Port,USA,105100,2,Delivered
SHIP00120,ORD01676,CONT41338,2024-10-06,2024-11-20,Chennai Port,Spain,56303,10,In Transit
SHIP00121,ORD00592,CONT68765,2024-11-04,2024-11-29,Chennai Port,South Korea,119614,1,Delivered
SHIP00122,ORD01275,CONT53871,2024-03-30,2024-04-30,Chennai Port,France,81928,1,Delivered
SHIP00123,ORD00696,CONT96196,2025-07-27,2025-08-31,Chennai Port,USA,36173,4,Delivered
SHIP00124,ORD00955,CONT76356,2024-08-20,2024-09-29,Tuticorin Port,Germany,61075,6,In Transit
SHIP00125,ORD02154,CONT61144,2024-11-29,2024-12-28,Tuticorin Port,France,85523,5,In Transit
SHIP00126,ORD00331,CONT34426,2025-03-22,2025-04-21,Chennai Port,France,134189,8,Delivered
SHIP00127,ORD02500,CONT90612,2024-01-09,2024-01-29,Tuticorin Port,France,106966,3,Delivered
SHIP00128,ORD02630,CONT41000,2024-11-20,2024-12-30,Chennai Port,China,149067,7,In Transit
SHIP00129,ORD00168,CONT78528,2025-10-28,2025-11-23,Chennai Port,China,93914,9,Delivered
SHIP00130,ORD01268,CONT49036,2025-05-08,2025-06-14,Tuticorin Port,Vietnam,74050,8,Delivered
SHIP00131,ORD01752,CONT24944,2025-09-30,2025-10-28,Chennai Port,UK,122434,0,In Transit
SHIP00132,ORD02242,CONT23963,2024-05-25,2024-06-20,Tuticorin Port,Germany,115254,9,In Transit
SHIP00133,ORD00687,CONT89452,2025-11-20,2025-12-30,Chennai Port,South Korea,109244,9,In Transit
SHIP00134,ORD01173,CONT43621,2024-05-30,2024-07-03,Chennai Port,Italy,76046,5,In Transit
SHIP00135,ORD00375,CONT30146,2024-01-08,2024-02-10,Chennai Port,China,51568,3,Delivered
SHIP00136,ORD00414,CONT16739,2024-07-17,2024-08-22,Tuticorin Port,Japan,52182,5,Delivered
SHIP00137,ORD01470,CONT80312,2024-06-17,2024-07-07,Tuticorin Port,Vietnam,126289,9,Delivered
SHIP00138,ORD00975,CONT27392,2024-08-29,2024-10-08,Chennai Port,China,75805,10,Delivered
SHIP00139,ORD02840,CONT84872,2025-05-08,2025-05-24,Tuticorin Port,South Korea,113539,6,In Transit
SHIP00140,ORD02281,CONT93820,2025-04-17,2025-05-10,Tuticorin Port,Spain,97112,6,In Transit
SHIP00141,ORD02499,CONT93582,2025-11-24,2025-12-27,Chennai Port,Vietnam,32377,6,Delivered
SHIP00142,ORD02363,CONT44647,2024-09-11,2024-10-13,Chennai Port,UK,128273,9,Delivered
SHIP00143,ORD00320,CONT82551,2025-02-09,2025-03-01,Chennai Port,France,130793,7,In Transit
SHIP00144,ORD00745,CONT56173,2025-11-21,2025-12-29,Chennai Port,Spain,42837,0,Delivered
SHIP00145,ORD02881,CONT66539,2024-12-20,2025-01-17,Chennai Port,China,81144,6,In Transit
SHIP00146,ORD01971,CONT29585,2025-08-11,2025-09-03,Chennai Port,Italy,148283,10,Delivered
SHIP00147,ORD02595,CONT98935,2025-05-05,2025-05-25,Tuticorin Port,Spain,31178,9,In Transit
SHIP00148,ORD02120,CONT28812,2024-03-11,2024-04-18,Chennai Port,Japan,106303,10,In Transit
SHIP00149,ORD00414,CONT13024,2024-10-28,2024-11-25,Chennai Port,China,125058,5,In Transit
SHIP00150,ORD00175,CONT74620,2024-05-28,2024-06-20,Tuticorin Port,Vietnam,58833,3,In Transit
SHIP00151,ORD01547,CONT71277,2024-06-10,2024-07-25,Chennai Port,South Korea,102891,1,In Transit
SHIP00152,ORD01638,CONT34754,2025-09-18,2025-10-03,Chennai Port,France,93918,5,Delivered
SHIP00153,ORD00714,CONT66881,2025-06-28,2025-07-29,Chennai Port,Vietnam,57256,2,In Transit
SHIP00154,ORD02511,CONT39760,2024-12-29,2025-02-09,Tuticorin Port,Spain,34881,3,In Transit
SHIP00155,ORD00384,CONT13422,2024-06-22,2024-07-13,Tuticorin Port,Spain,71295,7,In Transit
SHIP00156,ORD00102,CONT14541,2025-05-08,2025-06-19,Chennai Port,Germany,103502,8,In Transit
SHIP00157,ORD01266,CONT96292,2025-07-29,2025-08-14,Chennai Port,USA,126866,7,Delivered
SHIP00158,ORD00634,CONT45951,2024-07-03,2024-08-11,Tuticorin Port,South Korea,95634,10,Delivered
SHIP00159,ORD00869,CONT80382,2025-02-28,2025-03-20,Chennai Port,Vietnam,73745,10,Delivered
SHIP00160,ORD01358,CONT37738,2024-02-05,2024-02-25,Chennai Port,Germany,124151,3,Delivered
SHIP00161,ORD00405,CONT16640,2024-04-19,2024-05-17,Tuticorin Port,South Korea,48756,0,In Transit
SHIP00162,ORD01656,CONT92825,2024-05-07,2024-06-11,Chennai Port,UK,130131,0,In Transit
SHIP00163,ORD02537,CONT85768,2024-05-30,2024-06-28,Tuticorin Port,Japan,117873,9,Delivered
SHIP00164,ORD01838,CONT56649,2024-11-19,2024-12-30,Chennai Port,Spain,55510,8,In Transit
SHIP00165,ORD01577,CONT77763,2024-11-21,2024-12-25,Chennai Port,Japan,64326,3,Delivered
SHIP00166,ORD00107,CONT98439,2025-11-27,2025-12-19,Tuticorin Port,Spain,122981,6,Delivered
SHIP00167,ORD00724,CONT75681,2025-07-29,2025-08-17,Tuticorin Port,UK,132527,7,Delivered
SHIP00168,ORD02410,CONT99689,2025-08-25,2025-09-20,Chennai Port,China,34487,0,In Transit
SHIP00169,ORD00348,CONT70835,2025-04-17,2025-05-26,Tuticorin Port,France,53269,2,Delivered
SHIP00170,ORD00917,CONT82254,2024-02-09,2024-02-24,Tuticorin Port,South Korea,74538,9,In Transit
SHIP00171,ORD00953,CONT28530,2024-04-27,2024-05-19,Chennai Port,France,130075,0,Delivered
SHIP00172,ORD02909,CONT37653,2024-07-03,2024-07-21,Tuticorin Port,France,66787,5,In Transit
SHIP00173,ORD02563,CONT51833,2025-06-20,2025-07-09,Chennai Port,Vietnam,147603,1,Delivered
SHIP00174,ORD00329,CONT17219,2024-09-25,2024-10-18,Tuticorin Port,China,145255,6,Delivered
SHIP00175,ORD01419,CONT61508,2025-03-08,2025-04-13,Tuticorin Port,France,127001,3,Delivered
SHIP00176,ORD02418,CONT55109,2024-02-19,2024-04-03,Chennai Port,Spain,111663,2,In Transit
SHIP00177,ORD00807,CONT26468,2025-11-28,2025-12-21,Tuticorin Port,Italy,106195,5,Delivered
SHIP00178,ORD01574,CONT10993,2024-12-13,2025-01-15,Chennai Port,France,90082,0,Delivered
SHIP00179,ORD01960,CONT81783,2024-11-06,2024-12-19,Chennai Port,Italy,50322,5,In Transit
SHIP00180,ORD02740,CONT93591,2025-06-13,2025-07-14,Tuticorin Port,Spain,55508,8,Delivered
SHIP00181,ORD01206,CONT52583,2025-07-09,2025-07-29,Tuticorin Port,Spain,93225,6,Delivered
SHIP00182,ORD00554,CONT68005,2025-06-09,2025-07-23,Chennai Port,USA,53149,2,In Transit
SHIP00183,ORD01753,CONT11965,2025-10-26,2025-11-18,Tuticorin Port,China,108895,4,Delivered
SHIP00184,ORD02633,CONT20648,2024-04-20,2024-05-16,Chennai Port,France,100703,8,Delivered
SHIP00185,ORD01568,CONT18544,2025-09-20,2025-10-25,Chennai Port,Spain,52767,2,Delivered
SHIP00186,ORD00159,CONT95301,2024-12-03,2024-12-26,Tuticorin Port,Italy,129418,1,In Transit
SHIP00187,ORD00504,CONT22463,2024-03-01,2024-04-07,Chennai Port,USA,127774,2,Delivered
SHIP00188,ORD00461,CONT29910,2025-07-15,2025-08-12,Tuticorin Port,Spain,115021,7,Delivered
SHIP00189,ORD01754,CONT94044,2025-01-21,2025-02-28,Chennai Port,USA,105203,10,Delivered
SHIP00190,ORD00075,CONT73618,2025-03-18,2025-04-26,Tuticorin Port,Germany,125307,6,Delivered
SHIP00191,ORD00312,CONT74886,2025-09-11,2025-10-04,Tuticorin Port,Vietnam,132513,5,In Transit
SHIP00192,ORD02035,CONT22716,2025-01-30,2025-03-12,Tuticorin Port,UK,45947,6,In Transit
SHIP00193,ORD00028,CONT54910,2024-08-04,2024-08-21,Tuticorin Port,China,53989,1,In Transit
SHIP00194,ORD02933,CONT59533,2024-12-13,2025-01-23,Chennai Port,USA,123597,2,In Transit
SHIP00195,ORD02658,CONT49548,2025-09-06,2025-10-06,Tuticorin Port,Japan,69849,8,Delivered
SHIP00196,ORD00893,CONT25331,2025-03-19,2025-04-03,Chennai Port,USA,94776,8,Delivered
SHIP00197,ORD01152,CONT55661,2024-11-03,2024-12-10,Chennai Port,Vietnam,72721,2,In Transit
SHIP00198,ORD00312,CONT85556,2024-03-25,2024-04-23,Tuticorin Port,Spain,81501,3,Delivered
SHIP00199,ORD02736,CONT48348,2025-06-09,2025-07-22,Tuticorin Port,Spain,140225,8,In Transit
SHIP00200,ORD02811,CONT60947,2025-02-26,2025-03-15,Chennai Port,UK,37440,1,In Transit
SHIP00201,ORD01473,CONT23254,2024-04-10,2024-05-18,Tuticorin Port,Spain,59620,5,Delivered
SHIP00202,ORD02070,CONT89943,2025-04-04,2025-04-19,Tuticorin Port,Italy,65078,7,Delivered
SHIP00203,ORD00302,CONT30771,2025-08-24,2025-10-04,Tuticorin Port,Italy,144379,3,In Transit
SHIP00204,ORD02280,CONT30119,2024-07-12,2024-08-13,Chennai Port,South Korea,134335,0,In Transit
SHIP00205,ORD00192,CONT55483,2025-01-06,2025-02-16,Chennai Port,Japan,55282,10,Delivered
SHIP00206,ORD01288,CONT57575,2025-02-06,2025-02-28,Chennai Port,Italy,141263,4,In Transit
SHIP00207,ORD01223,CONT11794,2024-03-21,2024-04-29,Chennai Port,UK,80248,4,In Transit
SHIP00208,ORD02784,CONT62985,2024-11-22,2024-12-10,Chennai Port,France,90204,7,Delivered
SHIP00209,ORD00585,CONT78341,2025-10-06,2025-11-17,Tuticorin Port,Vietnam,54828,1,In Transit
SHIP00210,ORD01120,CONT54950,2024-01-02,2024-02-15,Chennai Port,China,43546,8,In Transit
SHIP00211,ORD02272,CONT85219,2024-02-13,2024-03-08,Chennai Port,Italy,36518,7,Delivered
SHIP00212,ORD01112,CONT95168,2025-03-14,2025-04-02,Tuticorin Port,Spain,134820,4,Delivered
SHIP00213,ORD02366,CONT76405,2024-03-14,2024-04-25,Tuticorin Port,France,55613,1,In Transit
SHIP00214,ORD02923,CONT94471,2025-08-12,2025-08-27,Tuticorin Port,Japan,58776,6,In Transit
SHIP00215,ORD02360,CONT70494,2024-11-30,2024-12-26,Tuticorin Port,Spain,102044,3,In Transit
SHIP00216,ORD01938,CONT66009,2024-03-25,2024-04-27,Chennai Port,Italy,66945,6,In Transit
SHIP00217,ORD01544,CONT22292,2024-06-30,2024-08-08,Chennai Port,South Korea,148251,2,Delivered
SHIP00218,ORD02182,CONT33426,2024-03-30,2024-04-20,Chennai Port,UK,71620,9,Delivered
SHIP00219,ORD02810,CONT16304,2025-03-18,2025-05-02,Tuticorin Port,USA,32333,4,In Transit
SHIP00220,ORD02350,CONT49861,2024-09-27,2024-11-09,Tuticorin Port,Germany,41582,9,In Transit
SHIP00221,ORD00107,CONT16523,2024-09-16,2024-10-15,Chennai Port,China,126722,8,In Transit
SHIP00222,ORD01512,CONT28082,2025-07-31,2025-09-01,Chennai Port,China,102179,2,Delivered
SHIP00223,ORD00702,CONT36096,2025-02-28,2025-04-10,Tuticorin Port,Japan,144310,2,In Transit
SHIP00224,ORD01663,CONT94646,2025-08-09,2025-09-03,Tuticorin Port,UK,80549,6,Delivered
SHIP00225,ORD00123,CONT56772,2024-07-12,2024-07-31,Tuticorin Port,Spain,48941,7,Delivered
SHIP00226,ORD01780,CONT35694,2024-05-21,2024-06-26,Tuticorin Port,Japan,53211,6,In Transit
SHIP00227,ORD00196,CONT21821,2025-10-23,2025-11-27,Chennai Port,Spain,39374,3,Delivered
SHIP00228,ORD00680,CONT59002,2024-02-20,2024-04-01,Chennai Port,USA,31095,2,Delivered
SHIP00229,ORD01528,CONT89260,2025-11-03,2025-12-04,Tuticorin Port,France,56581,6,In Transit
SHIP00230,ORD00880,CONT93392,2024-11-30,2024-12-21,Tuticorin Port,South Korea,50527,5,In Transit
SHIP00231,ORD00354,CONT95038,2025-06-23,2025-08-01,Tuticorin Port,South Korea,134724,2,In Transit
SHIP00232,ORD02719,CONT29744,2025-05-13,2025-06-21,Tuticorin Port,Germany,45319,6,Delivered
SHIP00233,ORD02626,CONT95958,2024-11-20,2024-12-20,Chennai Port,UK,71785,4,Delivered
SHIP00234,ORD01840,CONT41226,2025-07-09,2025-08-04,Tuticorin Port,USA,43444,1,Delivered
SHIP00235,ORD00867,CONT23865,2024-02-26,2024-04-02,Tuticorin Port,Spain,47387,1,In Transit
SHIP00236,ORD00551,CONT33239,2024-08-26,2024-10-07,Tuticorin Port,UK,136197,0,Delivered
SHIP00237,ORD01580,CONT54364,2025-06-24,2025-07-14,Chennai Port,Japan,34989,9,In Transit
SHIP00238,ORD01010,CONT20012,2025-09-09,2025-10-13,Tuticorin Port,France,43013,4,Delivered
SHIP00239,ORD00459,CONT28702,2024-05-14,2024-06-08,Tuticorin Port,South Korea,74167,5,Delivered
SHIP00240,ORD01611,CONT40973,2024-07-01,2024-08-06,Chennai Port,China,109504,9,Delivered
SHIP00241,ORD02028,CONT43933,2025-06-26,2025-07-17,Tuticorin Port,Spain,63587,5,Delivered
SHIP00242,ORD00317,CONT62995,2025-01-08,2025-02-06,Tuticorin Port,Italy,38378,9,Delivered
SHIP00243,ORD00304,CONT45232,2025-11-18,2025-12-03,Tuticorin Port,South Korea,30794,1,In Transit
SHIP00244,ORD00178,CONT13213,2024-10-27,2024-11-25,Chennai Port,Japan,59767,1,In Transit
SHIP00245,ORD00935,CONT36538,2024-07-09,2024-07-24,Chennai Port,USA,55171,10,Delivered
SHIP00246,ORD01387,CONT44566,2024-05-23,2024-06-13,Chennai Port,Japan,128908,9,In Transit
SHIP00247,ORD01701,CONT90788,2024-07-07,2024-07-22,Chennai Port,Japan,70299,9,Delivered
SHIP00248,ORD00241,CONT58115,2024-08-25,2024-09-14,Chennai Port,South Korea,145549,6,Delivered
SHIP00249,ORD02126,CONT14755,2025-02-14,2025-03-25,Tuticorin Port,Japan,89269,5,In Transit
SHIP00250,ORD01144,CONT81142,2025-04-08,2025-05-13,Chennai Port,South Korea,146056,4,Delivered
SHIP00251,ORD02160,CONT48576,2025-10-15,2025-11-09,Chennai Port,USA,52704,2,Delivered
SHIP00252,ORD00624,CONT57398,2024-07-04,2024-08-07,Chennai Port,South Korea,73668,2,Delivered
SHIP00253,ORD01671,CONT84577,2025-04-28,2025-05-25,Chennai Port,China,105429,8,In Transit
SHIP00254,ORD00745,CONT27761,2024-03-22,2024-04-27,Chennai Port,Germany,133118,2,In Transit
