Order_ID,Customer_ID,Country,Product_Type,Leather_Type,Order_Date,Delivery_Date,Quantity_SqFt,Price_per_SqFt,Total_Value,Currency,Order_Status,Factory_ID
ORD00027,CUST0165,China,Leather Panels,Cow,2024-05-10,2024-07-06,5881,288,1693728,EUR,Shipped,Ranipet Unit
ORD00028,CUST0005,Vietnam,Wet Blue Leather,Sheep,2024-07-03,2024-07-31,6440,159,1023960,USD,Completed,Vaniyambadi Unit
ORD00029,CUST0040,Spain,Leather Panels,Cow,2024-04-13,2024-05-30,1764,155,273420,EUR,Shipped,Vaniyambadi Unit
ORD00030,CUST0153,Vietnam,Leather Panels,Buffalo,2024-06-15,2024-07-11,6672,119,793968,EUR,Completed,Chennai Finishing
ORD00031,CUST0094,USA,Leather Sheets,Buffalo,2025-09-17,2025-10-20,4391,193,847463,USD,Pending,Chennai Finishing
ORD00032,CUST0232,Germany,Leather Sheets,Sheep,2025-11-25,2026-01-15,3678,174,639972,EUR,Pending,Chennai Finishing
ORD00033,CUST0248,Germany,Crust Leather,Goat,2024-07-23,2024-09-14,3155,289,911795,USD,Shipped,Chennai Finishing
ORD00034,CUST0224,Japan,Leather Panels,Cow,2024-04-15,2024-06-14,6581,221,1454401,EUR,Completed,Vaniyambadi Unit
ORD00035,CUST0070,Vietnam,Finished Leather,Buffalo,2024-05-30,2024-07-11,7861,211,1658671,EUR,Pending,Ambur Unit
ORD00036,CUST0107,Germany,Crust Leather,Sheep,2025-05-29,2025-07-06,1372,181,248332,USD,Pending,Vaniyambadi Unit
ORD00037,CUST0008,China,Crust Leather,Buffalo,2025-10-27,2025-12-02,5721,105,600705,USD,Pending,Chennai Finishing
ORD00038,CUST0179,France,Leather Panels,Cow,2025-04-25,2025-06-07,2773,274,759802,USD,Completed,Ranipet Unit
ORD00039,CUST0056,China,Leather Sheets,Cow,2025-09-15,2025-11-02,2949,220,648780,EUR,Completed,Ranipet Unit
ORD00040,CUST0032,South Korea,Leather Panels,Sheep,2025-03-05,2025-04-29,1282,141,180762,USD,Completed,Chennai Finishing
ORD00041,CUST0153,Vietnam,Leather Panels,Buffalo,2025-10-09,2025-11-25,9282,84,779688,USD,Pending,Chennai Finishing
ORD00042,CUST0001,Germany,Crust Leather,Cow,2025-08-07,2025-09-17,6280,141,885480,EUR,Completed,Ambur Unit
ORD00043,CUST0100,Spain,Wet Blue Leather,Goat,2025-10-12,2025-11-20,8202,91,746382,USD,Pending,Ambur Unit
ORD00044,CUST0089,Spain,Finished Leather,Goat,2025-11-03,2025-12-28,4450,267,1188150,USD,Completed,Ranipet Unit
ORD00045,CUST0140,USA,Leather Sheets,Sheep,2025-10-20,2025-11-15,6046,288,1741248,USD,Completed,Ambur Unit
ORD00046,CUST0184,Italy,Finished Leather,Buffalo,2024-10-27,2024-11-23,7998,89,711822,USD,Pending,Ranipet Unit
ORD00047,CUST0132,China,Wet Blue Leather,Cow,2025-07-10,2025-08-24,7024,288,2022912,USD,Pending,Ranipet Unit
ORD00048,CUST0221,China,Finished Leather,Goat,2024-12-05,2025-01-06,1283,247,316901,EUR,Pending,Chennai Finishing
ORD00049,CUST0230,Germany,Leather Sheets,Goat,2024-07-10,2024-08-25,6834,166,1134444,EUR,Completed,Chennai Finishing
ORD00050,CUST0021,UK,Wet Blue Leather,Goat,2024-07-03,2024-08-21,7555,234,1767870,USD,Completed,Ranipet Unit
ORD00051,CUST0170,South Korea,Leather Sheets,Buffalo,2025-04-01,2025-05-24,5343,158,844194,EUR,Pending,Chennai Finishing
ORD00052,CUST0011,France,Finished Leather,Cow,2025-03-21,2025-04-22,6276,237,1487412,EUR,Pending,Vaniyambadi Unit
ORD00053,CUST0244,Japan,Leather Sheets,Cow,2025-09-14,2025-11-11,1010,116,117160,USD,Completed,Vaniyambadi Unit
ORD00054,CUST0200,Spain,Finished Leather,Buffalo,2025-01-27,2025-03-19,6501,172,1118172,EUR,Pending,Ranipet Unit
ORD00055,CUST0114,Italy,Wet Blue Leather,Sheep,2024-05-20,2024-07-07,1759,226,397534,EUR,Shipped,Ranipet Unit
ORD00056,CUST0064,Germany,Leather Panels,Sheep,2024-07-09,2024-08-24,2358,86,202788,USD,Pending,Ranipet Unit
ORD00057,CUST0181,South Korea,Leather Sheets,Buffalo,2025-09-18,2025-10-21,7811,134,1046674,USD,Completed,Ambur Unit
ORD00058,CUST0116,Japan,Wet Blue Leather,Goat,2025-03-31,2025-04-20,3328,262,871936,USD,Shipped,Ranipet Unit
ORD00059,CUST0229,Italy,Crust Leather,Goat,2024-06-10,2024-08-09,5414,297,1607958,USD,Completed,Vaniyambadi Unit
ORD00060,CUST0203,Vietnam,Wet Blue Leather,Goat,2025-05-20,2025-06-05,2775,140,388500,EUR,Shipped,Vaniyambadi Unit
ORD00061,CUST0157,Spain,Leather Sheets,Sheep,2024-11-12,2024-12-22,1912,96,183552,EUR,Shipped,Ambur Unit
ORD00062,CUST0033,South Korea,Leather Sheets,Goat,2024-03-16,2024-04-28,5694,244,1389336,USD,Shipped,Vaniyambadi Unit
ORD00063,CUST0197,Germany,Finished Leather,Buffalo,2025-05-29,2025-06-16,2614,190,496660,EUR,Completed,Vaniyambadi Unit
ORD00064,CUST0083,China,Finished Leather,Goat,2025-06-15,2025-07-18,4194,168,704592,USD,Shipped,Ranipet Unit
ORD00065,CUST0033,South Korea,Leather Panels,Buffalo,2025-06-30,2025-07-20,5461,237,1294257,USD,Completed,Ranipet Unit
ORD00066,CUST0216,France,Finished Leather,Goat,2024-01-30,2024-02-19,9734,90,876060,USD,Shipped,Chennai Finishing
ORD00067,CUST0159,France,Wet Blue Leather,Goat,2025-10-04,2025-11-22,996,207,206172,EUR,Completed,Chennai Finishing
ORD00068,CUST0077,USA,Leather Sheets,Sheep,2024-03-02,2024-03-27,7930,98,777140,EUR,Pending,Vaniyambadi Unit
ORD00069,CUST0088,USA,Leather Sheets,Buffalo,2024-11-22,2024-12-29,2853,160,456480,EUR,Shipped,Ambur Unit
ORD00070,CUST0082,UK,Leather Sheets,Buffalo,2024-05-05,2024-06-06,4460,199,887540,USD,Completed,Ambur Unit
ORD00071,CUST0075,France,Crust Leather,Goat,2025-03-04,2025-04-03,6793,237,1609941,EUR,Completed,Vaniyambadi Unit
ORD00072,CUST0128,UK,Leather Sheets,Cow,2025-05-25,2025-06-28,8933,199,1777667,USD,Pending,Chennai Finishing
ORD00073,CUST0248,Germany,Finished Leather,Cow,2025-08-20,2025-09-26,4444,135,599940,EUR,Pending,Chennai Finishing
ORD00074,CUST0074,Spain,Crust Leather,Goat,2024-04-20,2024-06-01,9293,82,762026,EUR,Pending,Ranipet Unit
ORD00075,CUST0012,USA,Crust Leather,Goat,2025-08-06,2025-09-25,7063,93,656859,EUR,Completed,Chennai Finishing
ORD00076,CUST0130,Spain,Leather Panels,Cow,2025-07-17,2025-08-18,7878,275,2166450,USD,Completed,Chennai Finishing
ORD00077,CUST0096,Japan,Crust Leather,Sheep,2025-01-09,2025-02-02,6055,222,1344210,USD,Completed,Ambur Unit
ORD00078,CUST0036,South Korea,Leather Sheets,Buffalo,2025-04-30,2025-06-17,5956,285,1697460,USD,Pending,Ranipet Unit
ORD00079,CUST0042,Japan,Wet Blue Leather,Sheep,2024-11-02,2024-12-24,6938,237,1644306,EUR,Pending,Ambur Unit
ORD00080,CUST0095,France,Leather Panels,Goat,2024-04-22,2024-06-02,5927,252,1493604,USD,Shipped,Chennai Finishing
ORD00081,CUST0068,USA,Leather Panels,Sheep,2024-08-21,2024-09-08,9977,227,2264779,USD,Shipped,Chennai Finishing
ORD00082,CUST0038,Italy,Finished Leather,Buffalo,2025-08-09,2025-10-07,4468,88,393184,USD,Pending,Ranipet Unit
ORD00083,CUST0108,Italy,Leather Panels,Sheep,2024-07-27,2024-09-06,2981,185,551485,USD,Shipped,Vaniyambadi Unit
ORD00084,CUST0133,South Korea,Leather Sheets,Sheep,2024-11-28,2025-01-24,3897,223,869031,EUR,Completed,Chennai Finishing
ORD00085,CUST0234,Vietnam,Wet Blue Leather,Sheep,2025-07-13,2025-08-19,9234,167,1542078,USD,Completed,Ranipet Unit
ORD00086,CUST0143,France,Crust Leather,Sheep,2024-10-31,2024-12-03,5390,137,738430,EUR,Pending,Ranipet Unit
ORD00087,CUST0144,France,Leather Panels,Sheep,2024-05-04,2024-06-24,4980,153,761940,EUR,Pending,Vaniyambadi Unit
ORD00088,CUST0075,France,Leather Sheets,Goat,2024-03-21,2024-04-27,1189,153,181917,EUR,Completed,Vaniyambadi Unit
ORD00089,CUST0212,Germany,Wet Blue Leather,Buffalo,2025-07-29,2025-09-26,9324,149,1389276,USD,Shipped,Vaniyambadi Unit
ORD00090,CUST0063,Vietnam,Crust Leather,Cow,2025-06-27,2025-07-26,1331,251,334081,USD,Pending,Ranipet Unit
ORD00091,CUST0184,Italy,Finished Leather,Buffalo,2025-11-28,2025-12-21,8239,105,865095,EUR,Shipped,Chennai Finishing
ORD00092,CUST0123,China,Wet Blue Leather,Cow,2024-10-21,2024-11-25,3767,273,1028391,USD,Shipped,Vaniyambadi Unit
ORD00093,CUST0137,France,Finished Leather,Sheep,2025-03-03,2025-03-29,1111,124,137764,EUR,Completed,Ranipet Unit
ORD00094,CUST0225,Vietnam,Leather Panels,Cow,2024-11-01,2024-12-22,1113,82,91266,EUR,Pending,Chennai Finishing
ORD00095,CUST0165,China,Leather Panels,Sheep,2025-05-20,2025-06-12,9401,214,2011814,EUR,Completed,Ambur Unit
ORD00096,CUST0085,France,Wet Blue Leather,Buffalo,2025-04-14,2025-06-09,3162,267,844254,USD,Shipped,Ranipet Unit
ORD00097,CUST0203,Vietnam,Crust Leather,Sheep,2025-11-21,2025-12-18,5333,225,1199925,EUR,Shipped,Ranipet Unit
ORD00098,CUST0023,China,Crust Leather,Sheep,2024-04-07,2024-05-03,7067,251,1773817,EUR,Completed,Ambur Unit
ORD00099,CUST0067,Japan,Wet Blue Leather,Goat,2025-04-02,2025-05-04,6784,140,949760,USD,Pending,Ranipet Unit
ORD00100,CUST0178,Spain,Leather Sheets,Goat,2025-11-14,2025-12-06,4371,95,415245,USD,Pending,Ranipet Unit
ORD00101,CUST0177,South Korea,Leather Panels,Buffalo,2024-10-29,2024-12-06,2423,243,588789,USD,Completed,Chennai Finishing
ORD00102,CUST0040,Spain,Leather Sheets,Sheep,2025-09-12,2025-10-20,7954,271,2155534,USD,Completed,Ambur Unit
ORD00103,CUST0135,South Korea,Leather Panels,Cow,2025-01-05,2025-01-24,7819,215,1681085,USD,Shipped,Vaniyambadi Unit
ORD00104,CUST0147,Spain,Leather Panels,Sheep,2024-06-17,2024-07-22,9292,118,1096456,USD,Shipped,Vaniyambadi Unit
ORD00105,CUST0184,Italy,Finished Leather,Sheep,2025-06-06,2025-07-19,8508,103,876324,USD,Shipped,Chennai Finishing
ORD00106,CUST0117,Japan,Wet Blue Leather,Cow,2025-07-26,2025-09-08,9739,94,915466,EUR,Pending,Ambur Unit
ORD00107,CUST0191,Spain,Leather Sheets,Goat,2024-03-15,2024-04-01,4070,228,927960,USD,Shipped,Ambur Unit
ORD00108,CUST0240,USA,Leather Sheets,Buffalo,2024-02-02,2024-03-06,1630,200,326000,USD,Shipped,Chennai Finishing
ORD00109,CUST0096,Japan,Finished Leather,Buffalo,2025-01-21,2025-03-01,6766,194,1312604,EUR,Completed,Vaniyambadi Unit
ORD00110,CUST0138,France,Finished Leather,Cow,2024-05-10,2024-06-08,6939,215,1491885,EUR,Pending,Chennai Finishing
ORD00111,CUST0137,France,Leather Sheets,Goat,2024-08-23,2024-09-22,6714,290,1947060,USD,Pending,Vaniyambadi Unit
ORD00112,CUST0240,USA,Leather Panels,Cow,2025-11-07,2025-12-18,2348,88,206624,USD,Completed,Ambur Unit
ORD00113,CUST0026,UK,Finished Leather,Buffalo,2025-09-04,2025-11-01,1050,194,203700,USD,Pending,Chennai Finishing
ORD00114,CUST0060,France,Leather Panels,Goat,2024-02-27,2024-03-21,9343,135,1261305,USD,Shipped,Ranipet Unit
ORD00115,CUST0148,Spain,Leather Panels,Buffalo,2024-11-05,2024-11-29,5753,140,805420,EUR,Pending,Ranipet Unit
ORD00116,CUST0016,Vietnam,Leather Sheets,Sheep,2024-06-28,2024-08-22,9621,231,2222451,USD,Pending,Chennai Finishing
ORD00117,CUST0202,USA,Crust Leather,Goat,2025-03-02,2025-04-12,9092,161,1463812,EUR,Completed,Chennai Finishing
ORD00118,CUST0062,USA,Finished Leather,Sheep,2024-05-27,2024-07-10,4192,156,653952,EUR,Shipped,Vaniyambadi Unit
ORD00119,CUST0100,Spain,Finished Leather,Sheep,2024-07-27,2024-09-01,4478,145,649310,EUR,Completed,Vaniyambadi Unit
ORD00120,CUST0014,Germany,Leather Panels,Cow,2025-11-20,2026-01-12,4898,176,862048,USD,Completed,Vaniyambadi Unit
ORD00121,CUST0123,China,Crust Leather,Buffalo,2024-11-06,2024-11-21,3922,165,647130,USD,Shipped,Chennai Finishing
ORD00122,CUST0235,Spain,Crust Leather,Sheep,2025-09-10,2025-11-09,4474,258,1154292,USD,Shipped,Ranipet Unit
ORD00123,CUST0199,France,Wet Blue Leather,Goat,2025-04-22,2025-06-10,5137,177,909249,EUR,Pending,Chennai Finishing
ORD00124,CUST0120,Italy,Crust Leather,Goat,2025-04-25,2025-05-30,2115,285,602775,EUR,Pending,Ambur Unit
ORD00125,CUST0145,Vietnam,Wet Blue Leather,Sheep,2024-05-29,2024-06-14,4125,269,1109625,EUR,Completed,Vaniyambadi Unit
ORD00126,CUST0085,France,Leather Sheets,Goat,2025-08-06,2025-09-05,4268,177,755436,EUR,Pending,Chennai Finishing
ORD00127,CUST0118,Germany,Crust Leather,Sheep,2024-12-26,2025-01-20,3256,267,869352,USD,Shipped,Ambur Unit
ORD00128,CUST0135,South Korea,Finished Leather,Cow,2024-03-17,2024-05-13,1054,294,309876,EUR,Completed,Vaniyambadi Unit
ORD00129,CUST0018,UK,Leather Sheets,Goat,2024-08-11,2024-09-27,2974,82,243868,USD,Shipped,Chennai Finishing
ORD00130,CUST0169,Spain,Leather Panels,Sheep,2024-01-07,2024-02-25,8493,84,713412,USD,Completed,Ranipet Unit
ORD00131,CUST0138,France,Leather Sheets,Buffalo,2025-05-29,2025-07-27,5197,84,436548,USD,Completed,Vaniyambadi Unit
ORD00132,CUST0062,USA,Wet Blue Leather,Goat,2025-06-23,2025-07-24,3644,238,867272,EUR,Completed,Ranipet Unit
ORD00133,CUST0246,Vietnam,Crust Leather,Goat,2025-08-01,2025-08-31,7152,197,1408944,USD,Shipped,Ambur Unit
ORD00134,CUST0024,USA,Leather Sheets,Cow,2025-01-21,2025-03-12,7140,177,1263780,USD,Shipped,Vaniyambadi Unit
ORD00135,CUST0022,Italy,Wet Blue Leather,Cow,2025-03-20,2025-05-15,8689,296,2571944,USD,Completed,Vaniyambadi Unit
ORD00136,CUST0231,Italy,Finished Leather,Goat,2024-10-04,2024-10-21,9786,201,1966986,USD,Completed,Ranipet Unit
ORD00137,CUST0005,Vietnam,Leather Sheets,Cow,2024-05-27,2024-07-26,3894,230,895620,EUR,Completed,Vaniyambadi Unit
ORD00138,CUST0146,France,Leather Sheets,Buffalo,2025-07-07,2025-08-12,6875,253,1739375,USD,Shipped,Ranipet Unit
ORD00139,CUST0014,Germany,Wet Blue Leather,Sheep,2024-08-25,2024-09-13,2100,191,401100,EUR,Completed,Ranipet Unit
ORD00140,CUST0201,France,Leather Panels,Sheep,2024-08-21,2024-09-27,7881,205,1615605,EUR,Completed,Chennai Finishing
ORD00141,CUST0022,Italy,Finished Leather,Cow,2024-09-09,2024-11-08,5339,284,1516276,EUR,Completed,Chennai Finishing
ORD00142,CUST0183,USA,Wet Blue Leather,Cow,2025-02-02,2025-03-09,3027,269,814263,USD,Completed,Ranipet Unit
ORD00143,CUST0114,Italy,Crust Leather,Cow,2024-10-03,2024-10-24,6396,274,1752504,USD,Pending,Chennai Finishing
ORD00144,CUST0143,France,Finished Leather,Cow,2025-02-21,2025-03-14,9588,211,2023068,EUR,Shipped,Ambur Unit
ORD00145,CUST0153,Vietnam,Leather Sheets,Sheep,2024-01-13,2024-02-15,5815,178,1035070,USD,Shipped,Vaniyambadi Unit
ORD00146,CUST0147,Spain,Crust Leather,Goat,2025-01-24,2025-02-18,9037,123,1111551,EUR,Pending,Chennai Finishing
ORD00147,CUST0038,Italy,Leather Sheets,Goat,2025-03-21,2025-04-22,1536,122,187392,EUR,Completed,Ranipet Unit
ORD00148,CUST0065,China,Leather Panels,Buffalo,2025-10-02,2025-11-17,4540,264,1198560,EUR,Completed,Vaniyambadi Unit
ORD00149,CUST0078,UK,Leather Sheets,Goat,2024-12-06,2025-01-29,610,181,110410,EUR,Pending,Chennai Finishing
ORD00150,CUST0209,China,Crust Leather,Sheep,2024-11-24,2025-01-16,2730,156,425880,EUR,Completed,Chennai Finishing
ORD00151,CUST0248,Germany,Leather Panels,Buffalo,2025-10-10,2025-11-25,5728,154,882112,EUR,Pending,Ranipet Unit
ORD00152,CUST0210,Spain,Crust Leather,Buffalo,2024-04-26,2024-06-16,6937,173,1200101,USD,Shipped,Chennai Finishing
ORD00153,CUST0242,Germany,Finished Leather,Sheep,2024-10-25,2024-12-23,3934,192,755328,EUR,Completed,Ranipet Unit
ORD00154,CUST0062,USA,Leather Sheets,Sheep,2024-06-06,2024-08-05,4639,248,1150472,USD,Pending,Chennai Finishing
ORD00155,CUST0150,Italy,Leather Sheets,Cow,2025-06-02,2025-07-31,7066,216,1526256,EUR,Shipped,Ambur Unit
ORD00156,CUST0028,USA,Crust Leather,Cow,2025-11-11,2025-12-18,4567,248,1132616,EUR,Pending,Chennai Finishing
ORD00157,CUST0028,USA,Leather Panels,Buffalo,2024-09-21,2024-10-20,672,105,70560,EUR,Pending,Chennai Finishing
ORD00158,CUST0119,France,Leather Sheets,Cow,2024-12-19,2025-01-04,8699,118,1026482,EUR,Pending,Ambur Unit
ORD00159,CUST0030,UK,Leather Sheets,Buffalo,2024-11-15,2024-12-21,2821,169,476749,EUR,Pending,Chennai Finishing
ORD00160,CUST0025,Germany,Finished Leather,Goat,2025-04-08,2025-05-13,7678,264,2026992,USD,Shipped,Ambur Unit
ORD00161,CUST0006,Spain,Crust Leather,Buffalo,2024-04-21,2024-06-18,6120,245,1499400,USD,Shipped,Vaniyambadi Unit
ORD00162,CUST0085,France,Leather Sheets,Buffalo,2025-04-18,2025-05-17,9672,189,1828008,USD,Shipped,Chennai Finishing
ORD00163,CUST0102,Vietnam,Leather Sheets,Sheep,2025-09-20,2025-10-17,978,268,262104,EUR,Completed,Vaniyambadi Unit
ORD00164,CUST0053,Vietnam,Finished Leather,Buffalo,2024-03-05,2024-04-25,5060,272,1376320,EUR,Pending,Vaniyambadi Unit
ORD00165,CUST0118,Germany,Leather Panels,Goat,2025-11-17,2026-01-02,2367,147,347949,EUR,Shipped,Chennai Finishing
ORD00166,CUST0151,South Korea,Leather Panels,Buffalo,2024-12-26,2025-02-08,2371,169,400699,EUR,Shipped,Ambur Unit
ORD00167,CUST0173,UK,Wet Blue Leather,Cow,2024-04-30,2024-05-30,2694,160,431040,USD,Pending,Vaniyambadi Unit
ORD00168,CUST0131,China,Leather Panels,Sheep,2025-09-02,2025-09-25,6864,187,1283568,EUR,Completed,Chennai Finishing
ORD00169,CUST0163,China,Leather Panels,Buffalo,2025-10-22,2025-11-17,9304,257,2391128,EUR,Pending,Vaniyambadi Unit
ORD00170,CUST0048,Japan,Finished Leather,Goat,2025-04-06,2025-05-30,5654,295,1667930,USD,Pending,Vaniyambadi Unit
ORD00171,CUST0050,South Korea,Leather Sheets,Sheep,2025-06-01,2025-07-27,6790,223,1514170,EUR,Pending,Chennai Finishing
ORD00172,CUST0126,France,Crust Leather,Goat,2025-08-01,2025-08-17,3240,101,327240,USD,Pending,Vaniyambadi Unit
ORD00173,CUST0138,France,Leather Sheets,Cow,2025-04-13,2025-06-03,5229,123,643167,USD,Pending,Ranipet Unit
ORD00174,CUST0139,Italy,Crust Leather,Sheep,2025-03-27,2025-05-15,1181,274,323594,USD,Shipped,Vaniyambadi Unit
ORD00175,CUST0077,USA,Finished Leather,Sheep,2024-09-26,2024-11-02,1028,195,200460,USD,Completed,Vaniyambadi Unit
ORD00176,CUST0208,Italy,Leather Sheets,Buffalo,2025-09-16,2025-11-10,6244,300,1873200,USD,Completed,Vaniyambadi Unit
ORD00177,CUST0207,Italy,Wet Blue Leather,Buffalo,2024-12-25,2025-02-12,1472,225,331200,EUR,Shipped,Ranipet Unit
ORD00178,CUST0075,France,Finished Leather,Buffalo,2025-06-10,2025-08-07,9883,148,1462684,EUR,Completed,Ranipet Unit
ORD00179,CUST0222,USA,Crust Leather,Goat,2024-05-15,2024-06-14,2578,259,667702,USD,Shipped,Chennai Finishing
ORD00180,CUST0126,France,Leather Sheets,Sheep,2025-10-09,2025-11-10,2829,227,642183,EUR,Completed,Ambur Unit
ORD00181,CUST0104,France,Wet Blue Leather,Sheep,2024-10-11,2024-12-09,8947,271,2424637,EUR,Pending,Ambur Unit
ORD00182,CUST0223,USA,Wet Blue Leather,Cow,2025-04-14,2025-06-08,2026,267,540942,EUR,Completed,Chennai Finishing
ORD00183,CUST0212,Germany,Wet Blue Leather,Goat,2024-10-01,2024-11-05,3970,206,817820,USD,Shipped,Chennai Finishing
ORD00184,CUST0202,USA,Finished Leather,Sheep,2024-02-19,2024-03-07,6131,254,1557274,USD,Completed,Vaniyambadi Unit
ORD00185,CUST0113,Spain,Crust Leather,Goat,2025-03-14,2025-04-10,7979,80,638320,USD,Pending,Ambur Unit
ORD00186,CUST0168,Italy,Crust Leather,Cow,2024-03-25,2024-05-02,6405,144,922320,EUR,Shipped,Ranipet Unit
ORD00187,CUST0186,Vietnam,Finished Leather,Cow,2025-11-02,2025-11-22,4336,189,819504,USD,Pending,Ambur Unit
ORD00188,CUST0034,France,Finished Leather,Cow,2025-11-27,2026-01-09,4205,212,891460,EUR,Completed,Chennai Finishing
ORD00189,CUST0178,Spain,Leather Sheets,Cow,2024-03-13,2024-04-11,2665,202,538330,USD,Completed,Ranipet Unit
ORD00190,CUST0095,France,Crust Leather,Cow,2025-01-26,2025-02-18,5402,115,621230,USD,Shipped,Vaniyambadi Unit
ORD00191,CUST0113,Spain,Crust Leather,Sheep,2024-08-06,2024-09-30,6253,264,1650792,EUR,Completed,Ambur Unit
ORD00192,CUST0230,Germany,Leather Sheets,Goat,2024-05-06,2024-06-27,2146,115,246790,EUR,Pending,Vaniyambadi Unit
ORD00193,CUST0064,Germany,Leather Panels,Goat,2024-03-27,2024-04-26,5037,245,1234065,USD,Shipped,Ranipet Unit
ORD00194,CUST0053,Vietnam,Leather Sheets,Goat,2025-06-05,2025-07-02,8982,235,2110770,USD,Completed,Chennai Finishing
ORD00195,CUST0099,South Korea,Leather Panels,Cow,2025-05-26,2025-07-20,2347,141,330927,USD,Pending,Ranipet Unit
ORD00196,CUST0034,France,Wet Blue Leather,Buffalo,2025-08-05,2025-09-15,6837,300,2051100,EUR,Completed,Ambur Unit
ORD00197,CUST0151,South Korea,Finished Leather,Cow,2024-09-25,2024-10-23,1606,83,133298,EUR,Shipped,Ranipet Unit
ORD00198,CUST0161,France,Leather Sheets,Cow,2025-03-01,2025-04-12,8709,276,2403684,USD,Pending,Ambur Unit
ORD00199,CUST0080,Italy,Leather Panels,Goat,2024-07-27,2024-08-20,1794,210,376740,EUR,Shipped,Ambur Unit
ORD00200,CUST0080,Italy,Crust Leather,Cow,2024-09-01,2024-09-19,7667,266,2039422,EUR,Completed,Chennai Finishing
ORD00201,CUST0157,Spain,Crust Leather,Cow,2025-11-13,2026-01-09,1401,159,222759,USD,Shipped,Vaniyambadi Unit
ORD00202,CUST0180,South Korea,Leather Panels,Goat,2025-05-23,2025-06-29,685,121,82885,USD,Pending,Vaniyambadi Unit
ORD00203,CUST0192,South Korea,Wet Blue Leather,Sheep,2024-04-30,2024-05-16,4903,267,1309101,EUR,Shipped,Ambur Unit
