Inspection_ID,Batch_No,Leather_Grade,Thickness_mm,Color_Consistency,Tensile_Strength,Moisture,Defects,Inspection_Result,Rejected_Qty,Inspector
Q00050,B06572,A,1.72,80.0,21.0,11.2,No Defect,Pass,19,Inspector 10
Q00051,B00743,A,1.14,84.5,24.2,11.6,No Defect,Pass,22,Inspector 1
Q00052,B05150,A,2.01,85.5,33.6,14.4,No Defect,Pass,12,Inspector 8
Q00053,B03390,A,1.07,97.1,29.5,13.6,No Defect,Pass,22,Inspector 3
Q00054,B03569,A+,1.34,82.2,25.4,8.2,No Defect,Pass,23,Inspector 7
Q00055,B03926,B,1.39,96.0,29.0,14.5,Pinholes,Pass,15,Inspector 8
Q00056,B01627,A,1.58,94.2,16.4,9.5,No Defect,Pass,9,Inspector 2
Q00057,B01497,A,1.49,88.2,22.0,12.5,No Defect,Pass,26,Inspector 2
Q00058,B06597,B,1.55,96.5,29.0,13.2,Wrinkles,Pass,8,Inspector 5
Q00059,B01097,A,1.43,87.3,31.7,12.3,No Defect,Pass,12,Inspector 9
Q00060,B07488,A,1.46,90.9,24.9,12.8,No Defect,Pass,17,Inspector 2
Q00061,B00586,C,1.21,90.9,30.2,14.3,Scars,Pass,0,Inspector 3
Q00062,B05143,A+,0.8,90.6,32.6,12.2,No Defect,Pass,13,Inspector 6
Q00063,B06524,A+,1.54,98.8,22.4,10.9,No Defect,Pass,26,Inspector 4
Q00064,B02956,B,1.26,83.9,28.6,10.0,Wrinkles,Pass,15,Inspector 1
Q00065,B01480,C,2.07,89.9,30.4,8.6,Pinholes,Pass,25,Inspector 5
Q00066,B01330,B,0.89,85.7,28.0,9.4,Loose Grain,Pass,23,Inspector 3
Q00067,B07708,A+,1.15,94.1,28.1,9.5,No Defect,Pass,22,Inspector 9
Q00068,B05415,A+,0.98,82.8,24.9,10.8,No Defect,Pass,4,Inspector 3
Q00069,B05468,B,0.85,80.8,34.3,13.2,Wrinkles,Pass,19,Inspector 2
Q00070,B07992,A+,1.02,99.7,32.9,10.0,No Defect,Pass,2,Inspector 5
Q00071,B06806,A,2.04,95.4,17.1,15.0,No Defect,Pass,8,Inspector 8
Q00072,B05063,A+,1.28,84.9,19.7,12.5,No Defect,Pass,30,Inspector 5
Q00073,B07359,A+,2.08,85.7,15.8,11.6,No Defect,Pass,15,Inspector 10
Q00074,B02462,A+,1.06,80.1,22.3,13.7,No Defect,Pass,12,Inspector 4
Q00075,B05800,C,1.54,80.2,32.4,14.6,Wrinkles,Pass,0,Inspector 7
Q00076,B00747,A+,1.11,93.8,27.5,14.6,No Defect,Pass,19,Inspector 7
Q00077,B01347,A,2.08,80.1,19.6,10.1,No Defect,Pass,15,Inspector 1
Q00078,B06008,A+,1.87,88.0,30.6,9.1,No Defect,Pass,21,Inspector 8
Q00079,B01506,B,1.92,85.5,26.9,9.4,Pinholes,Pass,1,Inspector 8
Q00080,B01841,A+,0.98,94.4,32.8,14.4,No Defect,Pass,15,Inspector 6
Q00081,B07683,Rejected,1.83,84.6,24.7,12.7,Wrinkles,Fail,26,Inspector 2
Q00082,B06234,A+,2.02,80.1,31.1,14.7,No Defect,Pass,8,Inspector 1
Q00083,B02521,A,1.23,87.0,15.8,10.9,No Defect,Pass,17,Inspector 4
Q00084,B04503,B,1.9,82.0,27.8,12.3,Pinholes,Pass,13,Inspector 6
Q00085,B00730,A+,1.27,92.7,21.7,12.2,No Defect,Pass,20,Inspector 9
Q00086,B03568,A,1.77,81.2,21.9,15.0,No Defect,Pass,5,Inspector 6
Q00087,B04229,A,1.1,85.8,26.4,12.3,No Defect,Pass,11,Inspector 7
Q00088,B07195,A,1.38,89.6,20.6,14.7,No Defect,Pass,1,Inspector 6
Q00089,B00284,B,1.7,83.8,23.3,10.6,Loose Grain,Pass,29,Inspector 1
Q00090,B01915,B,1.75,98.2,20.1,9.4,Loose Grain,Pass,23,Inspector 4
Q00091,B06121,Rejected,1.96,90.5,15.0,11.1,Pinholes,Fail,5,Inspector 6
Q00092,B06196,B,1.84,93.8,31.8,13.9,Loose Grain,Pass,23,Inspector 4
Q00093,B04000,Rejected,1.88,85.6,18.7,14.7,Wrinkles,Fail,1,Inspector 3
Q00094,B01088,B,1.52,97.3,33.1,8.3,Loose Grain,Pass,21,Inspector 9
Q00095,B01944,C,2.01,90.8,18.5,12.8,Pinholes,Pass,2,Inspector 4
Q00096,B07557,A+,1.14,81.9,33.9,8.5,No Defect,Pass,0,Inspector 8
Q00097,B05688,A,2.08,91.2,30.0,14.9,No Defect,Pass,16,Inspector 9
Q00098,B03927,A,1.51,82.4,31.9,10.4,No Defect,Pass,16,Inspector 10
Q00099,B02874,C,1.65,83.1,16.9,12.9,Loose Grain,Pass,20,Inspector 3
Q00100,B05135,A,0.85,83.1,19.2,10.2,No Defect,Pass,2,Inspector 3
Q00101,B06584,C,1.97,94.9,28.8,9.6,Loose Grain,Pass,27,Inspector 1
Q00102,B04134,A,1.2,88.7,27.1,10.4,No Defect,Pass,22,Inspector 2
Q00103,B04414,C,2.2,84.3,18.4,9.5,Scars,Pass,17,Inspector 3
Q00104,B03861,B,2.08,96.1,20.5,9.7,Loose Grain,Pass,20,Inspector 8
Q00105,B00628,A,1.68,99.1,33.3,8.1,No Defect,Pass,14,Inspector 6
Q00106,B02498,A,1.6,80.7,28.5,10.2,No Defect,Pass,9,Inspector 6
Q00107,B00573,B,1.02,96.5,20.5,14.7,Scars,Pass,8,Inspector 1
Q00108,B01311,A+,1.79,92.7,28.9,9.9,No Defect,Pass,17,Inspector 9
Q00109,B00174,Rejected,1.93,87.7,24.8,10.8,Loose Grain,Fail,23,Inspector 1
Q00110,B03425,B,1.3,82.2,19.9,14.4,Pinholes,Pass,29,Inspector 6
Q00111,B00563,B,1.66,88.2,32.8,14.2,Wrinkles,Pass,24,Inspector 5
Q00112,B00133,A,1.57,85.4,34.6,8.3,No Defect,Pass,28,Inspector 3
Q00113,B07983,Rejected,1.42,90.8,19.8,10.5,Wrinkles,Fail,5,Inspector 7
Q00114,B05742,B,1.08,86.9,31.8,14.1,Pinholes,Pass,17,Inspector 10
Q00115,B06454,A,1.89,82.4,33.8,14.5,No Defect,Pass,1,Inspector 10
Q00116,B05805,A+,1.67,94.9,19.5,10.1,No Defect,Pass,13,Inspector 9
Q00117,B00421,B,1.75,88.3,34.1,10.5,Scars,Pass,8,Inspector 3
Q00118,B01291,B,1.41,87.9,28.6,10.4,Scars,Pass,17,Inspector 2
Q00119,B02018,A,0.92,80.9,19.6,14.0,No Defect,Pass,14,Inspector 5
Q00120,B05079,A,0.92,97.3,16.9,13.6,No Defect,Pass,16,Inspector 2
Q00121,B04494,A+,1.73,90.8,34.2,13.5,No Defect,Pass,26,Inspector 10
Q00122,B04786,A,1.02,91.0,25.3,14.5,No Defect,Pass,26,Inspector 5
Q00123,B06541,A,1.23,91.5,26.2,9.9,No Defect,Pass,30,Inspector 4
Q00124,B04127,A,0.88,95.4,22.1,9.8,No Defect,Pass,0,Inspector 9
Q00125,B04885,A,0.93,92.1,30.7,11.1,No Defect,Pass,22,Inspector 6
Q00126,B05459,A,2.07,87.6,24.6,11.3,No Defect,Pass,8,Inspector 3
Q00127,B02193,A+,1.6,80.5,15.2,13.8,No Defect,Pass,11,Inspector 10
Q00128,B02382,A,1.15,96.4,30.7,8.4,No Defect,Pass,13,Inspector 6
Q00129,B02849,A,1.87,92.3,32.9,8.8,No Defect,Pass,15,Inspector 2
Q00130,B06266,A,0.99,99.5,17.5,12.7,No Defect,Pass,1,Inspector 8
Q00131,B01021,A,1.83,87.3,17.8,11.1,No Defect,Pass,17,Inspector 8
Q00132,B01026,B,1.33,94.5,29.7,11.7,Wrinkles,Pass,11,Inspector 5
Q00133,B01057,A+,1.48,98.4,19.5,9.9,No Defect,Pass,22,Inspector 10
Q00134,B03132,B,1.73,82.1,16.5,12.2,Wrinkles,Pass,17,Inspector 10
Q00135,B07847,A+,1.22,80.5,24.5,11.8,No Defect,Pass,30,Inspector 6
Q00136,B06444,B,1.35,84.7,23.4,10.2,Loose Grain,Pass,21,Inspector 10
Q00137,B06980,A,1.18,92.4,29.7,11.0,No Defect,Pass,3,Inspector 7
Q00138,B05111,A+,0.83,95.9,24.5,13.3,No Defect,Pass,27,Inspector 5
Q00139,B01042,B,1.77,81.6,19.4,8.9,Wrinkles,Pass,22,Inspector 6
Q00140,B06835,A,1.77,80.9,18.8,14.9,No Defect,Pass,14,Inspector 6
Q00141,B06553,Rejected,1.16,92.1,31.5,11.8,Scars,Fail,4,Inspector 7
Q00142,B00006,A+,1.54,92.3,27.3,12.4,No Defect,Pass,14,Inspector 6
Q00143,B06968,A,1.37,91.3,33.1,13.1,No Defect,Pass,9,Inspector 4
Q00144,B06336,A+,1.96,95.9,16.0,8.5,No Defect,Pass,14,Inspector 10
Q00145,B01796,A,1.27,95.5,24.3,10.1,No Defect,Pass,16,Inspector 1
Q00146,B04802,A,1.95,93.3,18.3,11.7,No Defect,Pass,25,Inspector 7
Q00147,B06936,A,1.19,83.1,31.1,14.2,No Defect,Pass,19,Inspector 10
Q00148,B06712,B,1.17,86.5,24.5,14.5,Pinholes,Pass,17,Inspector 5
Q00149,B06557,B,2.02,82.7,33.0,10.8,Loose Grain,Pass,19,Inspector 2
Q00150,B03443,A,0.91,82.5,16.9,9.5,No Defect,Pass,0,Inspector 3
Q00151,B06002,C,0.86,92.6,27.7,10.9,Wrinkles,Pass,5,Inspector 4
Q00152,B00882,A,0.99,89.2,25.7,9.5,No Defect,Pass,29,Inspector 9
Q00153,B06512,A,1.18,85.5,30.8,13.3,No Defect,Pass,7,Inspector 7
Q00154,B04151,B,2.1,91.8,28.2,10.5,Loose Grain,Pass,9,Inspector 7
Q00155,B01558,A,1.49,84.9,29.0,14.1,No Defect,Pass,28,Inspector 2
Q00156,B02320,A,1.49,97.0,18.3,10.7,No Defect,Pass,11,Inspector 6
Q00157,B06478,Rejected,1.33,81.9,28.3,14.3,Pinholes,Fail,9,Inspector 5
Q00158,B04127,B,0.81,96.0,25.9,8.8,Pinholes,Pass,20,Inspector 2
Q00159,B06781,A+,1.27,100.0,30.9,10.7,No Defect,Pass,9,Inspector 3
Q00160,B00845,C,1.27,94.1,33.1,9.4,Loose Grain,Pass,18,Inspector 8
Q00161,B04407,A,1.84,80.6,29.1,13.1,No Defect,Pass,14,Inspector 1
Q00162,B05022,B,0.9,90.0,30.4,9.6,Uneven Dye,Pass,26,Inspector 6
Q00163,B04027,B,1.6,95.1,26.4,11.7,Scars,Pass,14,Inspector 3
Q00164,B04493,A,1.97,94.7,34.0,14.7,No Defect,Pass,8,Inspector 4
Q00165,B03108,B,1.86,89.2,17.9,11.6,Uneven Dye,Pass,9,Inspector 1
Q00166,B01742,B,1.96,83.2,21.2,13.3,Loose Grain,Pass,28,Inspector 7
Q00167,B06455,B,1.11,83.2,30.9,8.8,Scars,Pass,17,Inspector 9
Q00168,B01165,B,1.21,99.3,27.7,10.4,Wrinkles,Pass,25,Inspector 3
Q00169,B00259,A,1.54,89.1,28.4,11.4,No Defect,Pass,19,Inspector 5
Q00170,B04886,A,2.13,87.1,29.9,8.4,No Defect,Pass,13,Inspector 10
Q00171,B06007,A,1.95,91.2,26.2,13.5,No Defect,Pass,25,Inspector 2
Q00172,B04274,C,0.96,99.5,25.6,10.0,Wrinkles,Pass,19,Inspector 3
Q00173,B03512,A+,1.26,86.4,29.7,11.6,No Defect,Pass,29,Inspector 6
Q00174,B00964,A,1.09,94.5,22.9,9.2,No Defect,Pass,1,Inspector 8
Q00175,B05191,Rejected,1.6,81.5,25.5,9.3,Wrinkles,Fail,10,Inspector 2
Q00176,B05965,B,1.39,84.2,31.9,11.7,Pinholes,Pass,1,Inspector 8
Q00177,B01756,B,1.09,91.4,33.9,12.7,Scars,Pass,8,Inspector 10
Q00178,B05660,B,1.01,97.5,28.3,10.6,Uneven Dye,Pass,0,Inspector 2
Q00179,B02807,B,0.86,87.4,22.4,10.6,Loose Grain,Pass,5,Inspector 6
Q00180,B03295,A,1.05,94.8,31.8,11.9,No Defect,Pass,18,Inspector 4
Q00181,B07741,A,0.92,81.9,15.2,13.1,No Defect,Pass,20,Inspector 8
Q00182,B02190,A+,1.04,80.8,24.3,9.9,No Defect,Pass,7,Inspector 9
Q00183,B01027,B,1.91,86.3,22.7,14.7,Loose Grain,Pass,3,Inspector 10
Q00184,B05056,A,1.01,80.0,21.6,13.1,No Defect,Pass,20,Inspector 5
Q00185,B05635,A+,0.93,80.4,32.4,11.8,No Defect,Pass,23,Inspector 10
Q00186,B01296,A,1.77,94.3,27.9,12.6,No Defect,Pass,3,Inspector 5
Q00187,B03052,A,0.97,83.7,34.8,14.0,No Defect,Pass,25,Inspector 3
Q00188,B03412,C,1.88,93.7,17.2,13.8,Uneven Dye,Pass,12,Inspector 3
Q00189,B00082,C,1.26,93.5,17.7,9.2,Pinholes,Pass,10,Inspector 6
Q00190,B07183,B,2.03,93.2,33.5,9.7,Scars,Pass,25,Inspector 5
Q00191,B04298,A,1.0,99.7,25.1,10.8,No Defect,Pass,15,Inspector 1
Q00192,B03650,C,1.01,92.1,29.5,10.2,Wrinkles,Pass,9,Inspector 1
Q00193,B05498,C,2.16,88.7,15.2,10.8,Wrinkles,Pass,21,Inspector 7
Q00194,B04390,A,1.63,90.5,29.6,10.0,No Defect,Pass,0,Inspector 7
Q00195,B05362,A,1.91,83.1,18.4,11.7,No Defect,Pass,2,Inspector 4
Q00196,B07928,A,0.82,98.2,24.8,11.7,No Defect,Pass,2,Inspector 3
Q00197,B07505,A,2.05,88.2,35.0,12.7,No Defect,Pass,11,Inspector 3
Q00198,B00558,C,0.82,93.0,32.2,14.0,Uneven Dye,Pass,16,Inspector 8
Q00199,B00468,A+,2.03,80.0,25.5,9.5,No Defect,Pass,26,Inspector 10
Q00200,B02405,A+,1.79,93.2,20.9,11.3,No Defect,Pass,30,Inspector 3
Q00201,B05679,A,1.61,83.0,19.0,13.4,No Defect,Pass,6,Inspector 7
Q00202,B04262,C,1.98,81.7,15.8,9.7,Wrinkles,Pass,26,Inspector 3
Q00203,B06181,A,1.21,98.3,19.1,11.7,No Defect,Pass,6,Inspector 8
Q00204,B02366,C,0.85,93.1,17.5,9.8,Uneven Dye,Pass,11,Inspector 2
Q00205,B02777,A+,2.14,89.3,24.7,12.5,No Defect,Pass,30,Inspector 6
Q00206,B01168,A,1.93,87.0,21.6,10.6,No Defect,Pass,13,Inspector 2
Q00207,B01271,A,1.03,93.5,17.0,11.4,No Defect,Pass,6,Inspector 7
Q00208,B05922,A,1.12,92.0,17.7,13.2,No Defect,Pass,5,Inspector 5
Q00209,B01285,A,1.46,95.1,17.4,8.7,No Defect,Pass,1,Inspector 8
Q00210,B04056,A+,1.62,89.2,34.5,12.3,No Defect,Pass,23,Inspector 4
Q00211,B03630,B,1.87,80.4,29.5,13.1,Loose Grain,Pass,18,Inspector 8
Q00212,B04950,A,1.48,92.8,24.4,13.4,No Defect,Pass,22,Inspector 6
Q00213,B07440,A,1.49,94.0,27.8,10.6,No Defect,Pass,4,Inspector 8
Q00214,B00025,A,1.07,84.3,21.8,14.3,No Defect,Pass,9,Inspector 4
Q00215,B02624,A,1.44,81.9,31.6,14.0,No Defect,Pass,15,Inspector 1
Q00216,B04706,C,2.15,85.0,32.0,9.4,Wrinkles,Pass,5,Inspector 5
Q00217,B01248,A,1.09,88.5,26.5,8.1,No Defect,Pass,17,Inspector 3
Q00218,B01484,A+,1.42,91.8,26.4,8.8,No Defect,Pass,9,Inspector 7
Q00219,B03332,B,0.86,91.1,15.0,10.1,Uneven Dye,Pass,30,Inspector 1
Q00220,B07910,Rejected,1.89,90.2,16.3,11.2,Uneven Dye,Fail,2,Inspector 8
Q00221,B05584,C,2.02,81.9,34.4,13.3,Wrinkles,Pass,2,Inspector 9
Q00222,B03491,B,1.56,89.6,28.7,10.7,Scars,Pass,2,Inspector 4
Q00223,B05738,A+,1.3,98.2,23.0,13.6,No Defect,Pass,4,Inspector 9
Q00224,B01095,A,1.14,89.7,28.0,8.3,No Defect,Pass,0,Inspector 4
Q00225,B04885,B,1.03,95.9,26.1,13.5,Pinholes,Pass,26,Inspector 10
Q00226,B00250,A+,1.48,97.6,15.9,12.2,No Defect,Pass,17,Inspector 1
Q00227,B00662,B,2.19,99.7,25.7,15.0,Uneven Dye,Pass,21,Inspector 5
Q00228,B03464,B,0.83,81.8,31.2,9.9,Uneven Dye,Pass,0,Inspector 6
Q00229,B03825,A,1.33,92.3,24.4,9.1,No Defect,Pass,21,Inspector 1
Q00230,B02853,A,1.16,97.4,28.3,9.5,No Defect,Pass,23,Inspector 10
Q00231,B07649,A,1.76,98.1,26.6,9.1,No Defect,Pass,20,Inspector 6
Q00232,B00614,C,1.24,83.3,33.4,11.6,Wrinkles,Pass,11,Inspector 2
Q00233,B04991,C,0.8,94.6,33.6,8.3,Pinholes,Pass,20,Inspector 8
Q00234,B07602,A+,1.16,89.9,22.7,14.1,No Defect,Pass,27,Inspector 1
Q00235,B05573,A,2.06,96.2,17.8,9.3,No Defect,Pass,1,Inspector 1
Q00236,B05122,A,0.81,86.9,25.0,12.2,No Defect,Pass,22,Inspector 9
Q00237,B03664,A,2.14,98.9,29.1,8.2,No Defect,Pass,7,Inspector 10
Q00238,B07449,B,0.99,85.8,29.0,13.7,Wrinkles,Pass,15,Inspector 7
Q00239,B00665,B,1.91,89.3,26.4,11.5,Loose Grain,Pass,19,Inspector 6
Q00240,B05153,A,1.2,90.4,24.1,12.3,No Defect,Pass,4,Inspector 6
Q00241,B07034,A,0.93,81.5,31.8,14.8,No Defect,Pass,25,Inspector 5
Q00242,B04573,A,1.43,85.3,22.2,10.7,No Defect,Pass,14,Inspector 3
Q00243,B04324,B,0.9,85.7,28.7,8.7,Uneven Dye,Pass,11,Inspector 2
Q00244,B02241,A,0.87,98.6,19.2,13.5,No Defect,Pass,1,Inspector 9
Q00245,B07398,A,1.82,94.7,23.8,13.0,No Defect,Pass,13,Inspector 9
Q00246,B01818,C,1.68,86.4,32.2,8.1,Pinholes,Pass,20,Inspector 6
Q00247,B01607,C,1.65,80.2,18.8,11.2,Wrinkles,Pass,0,Inspector 8
Q00248,B06158,A,1.13,99.5,30.0,12.3,No Defect,Pass,9,Inspector 1
Q00249,B05603,C,1.79,96.8,28.0,14.7,Uneven Dye,Pass,20,Inspector 4
Q00250,B05455,A,2.02,82.1,17.8,9.6,No Defect,Pass,1,Inspector 9
Q00251,B00727,A,2.08,92.9,30.6,13.4,No Defect,Pass,26,Inspector 10
Q00252,B07159,A,1.48,98.4,22.1,11.1,No Defect,Pass,7,Inspector 3
Q00253,B05012,B,2.05,81.6,28.8,9.7,Scars,Pass,6,Inspector 5
Q00254,B05758,A,1.09,85.7,30.7,11.4,No Defect,Pass,27,Inspector 7
Q00255,B02154,A+,2.03,94.5,28.7,9.7,No Defect,Pass,22,Inspector 6
Q00256,B01770,A,2.15,92.0,28.5,14.3,No Defect,Pass,28,Inspector 3
Q00257,B03281,A,2.07,93.5,21.0,9.3,No Defect,Pass,3,Inspector 4
Q00258,B06698,B,1.02,96.1,30.2,12.0,Uneven Dye,Pass,16,Inspector 6
Q00259,B03234,A,1.12,95.3,31.3,13.2,No Defect,Pass,20,Inspector 4
Q00260,B01261,B,1.37,86.7,31.8,9.2,Loose Grain,Pass,28,Inspector 1
Q00261,B03942,B,1.98,94.0,24.8,13.0,Pinholes,Pass,15,Inspector 10
Q00262,B03783,A,0.84,89.3,21.7,14.6,No Defect,Pass,5,Inspector 8
Q00263,B06841,A+,1.6,83.4,30.7,14.8,No Defect,Pass,0,Inspector 8
Q00264,B03005,C,1.58,94.4,27.7,11.4,Wrinkles,Pass,22,Inspector 6
Q00265,B07114,A,0.85,95.0,25.4,14.8,No Defect,Pass,21,Inspector 8
Q00266,B05556,A,1.69,88.1,16.4,8.0,No Defect,Pass,20,Inspector 6
Q00267,B06245,C,1.15,81.2,30.7,14.4,Loose Grain,Pass,19,Inspector 8
Q00268,B00875,B,2.08,85.6,32.8,11.2,Scars,Pass,20,Inspector 7
Q00269,B02389,A,1.28,85.2,28.4,9.2,No Defect,Pass,14,Inspector 3
Q00270,B02107,B,1.18,95.9,28.7,11.8,Scars,Pass,27,Inspector 5
Q00271,B05457,A,1.69,98.8,31.9,9.2,No Defect,Pass,9,Inspector 8
Q00272,B04759,B,1.86,84.2,25.7,11.9,Wrinkles,Pass,17,Inspector 2
Q00273,B02823,A,1.77,92.1,20.5,8.7,No Defect,Pass,12,Inspector 1
Q00274,B03705,B,1.39,94.9,17.1,8.5,Scars,Pass,1,Inspector 1
Q00275,B05056,A+,1.86,93.9,23.5,10.4,No Defect,Pass,0,Inspector 9
Q00276,B00518,B,1.92,82.2,29.6,11.0,Pinholes,Pass,5,Inspector 3
Q00277,B00754,B,2.1,88.7,20.8,11.3,Wrinkles,Pass,12,Inspector 5
Q00278,B07532,B,1.92,81.7,30.4,14.4,Pinholes,Pass,19,Inspector 7
Q00279,B04601,A,1.2,83.1,15.4,14.1,No Defect,Pass,23,Inspector 6
Q00280,B01295,A,1.25,86.0,15.7,13.3,No Defect,Pass,22,Inspector 6
Q00281,B06201,A,1.78,84.7,34.5,13.9,No Defect,Pass,14,Inspector 9
Q00282,B03305,A,1.39,96.2,21.7,12.0,No Defect,Pass,20,Inspector 6
Q00283,B06826,A,1.71,98.7,30.3,9.4,No Defect,Pass,16,Inspector 7
Q00284,B01836,A,1.23,89.7,31.2,12.9,No Defect,Pass,14,Inspector 10
Q00285,B05635,A,1.04,97.4,27.3,14.4,No Defect,Pass,27,Inspector 7
Q00286,B04552,B,1.39,83.5,16.8,14.8,Uneven Dye,Pass,10,Inspector 9
Q00287,B02369,Rejected,1.49,86.1,31.3,9.7,Scars,Fail,8,Inspector 5
Q00288,B03681,A+,1.29,84.1,30.7,8.2,No Defect,Pass,25,Inspector 1
Q00289,B00451,B,0.82,95.8,23.3,8.6,Scars,Pass,7,Inspector 2
Q00290,B02853,A+,2.18,96.0,24.2,14.9,No Defect,Pass,2,Inspector 2
Q00291,B01843,B,2.18,82.7,16.2,9.1,Wrinkles,Pass,14,Inspector 1
Q00292,B03163,A,2.04,96.6,34.4,9.6,No Defect,Pass,12,Inspector 7
Q00293,B03039,A+,1.0,87.6,17.5,13.2,No Defect,Pass,28,Inspector 7
Q00294,B02771,A,2.06,97.2,27.3,9.0,No Defect,Pass,1,Inspector 7
Q00295,B04677,B,1.85,82.1,26.2,10.9,Pinholes,Pass,21,Inspector 3
Q00296,B05460,A,1.32,93.7,16.2,12.0,No Defect,Pass,1,Inspector 7
Q00297,B05162,A+,1.51,93.7,33.9,11.7,No Defect,Pass,24,Inspector 5
Q00298,B06493,C,2.18,83.0,29.2,14.8,Scars,Pass,9,Inspector 10
Q00299,B03350,A,1.09,85.3,24.1,9.6,No Defect,Pass,7,Inspector 8
Q00300,B02716,A,2.03,82.5,18.7,14.2,No Defect,Pass,29,Inspector 6
Q00301,B04192,A,1.52,89.8,28.2,11.4,No Defect,Pass,2,Inspector 2
