Production_ID,Factory_ID,Production_Date,Leather_Type,Batch_No,Raw_Hides,Finished_Output,Waste_Percentage,Machine_Hours,Labor_Hours,Supervisor,Shift,Production_Status
PROD00052,Vaniyambadi Unit,2024-09-04,Goat,B00052,507,416,17.95,9.8,40.6,Supervisor 9,Night,Running
PROD00053,Vaniyambadi Unit,2024-07-24,Buffalo,B00053,474,378,20.25,11.5,45.8,Supervisor 1,Day,Completed
PROD00054,Ambur Unit,2024-03-12,Cow,B00054,366,308,15.85,9.9,68.9,Supervisor 10,Night,Running
PROD00055,Chennai Finishing,2024-11-17,Cow,B00055,179,137,23.46,4.7,26.1,Supervisor 6,Day,Running
PROD00056,Chennai Finishing,2025-03-12,Cow,B00056,906,847,6.51,6.5,38.4,Supervisor 8,Night,Completed
PROD00057,Chennai Finishing,2025-06-07,Sheep,B00057,622,546,12.22,9.4,36.8,Supervisor 8,Night,Running
PROD00058,Chennai Finishing,2025-07-14,Buffalo,B00058,787,692,12.07,9.7,20.9,Supervisor 6,Day,Running
PROD00059,Ranipet Unit,2024-01-18,Cow,B00059,513,419,18.32,6.2,29.8,Supervisor 4,Day,Completed
PROD00060,Vaniyambadi Unit,2025-05-23,Sheep,B00060,847,665,21.49,11.3,71.3,Supervisor 6,Night,Running
PROD00061,Chennai Finishing,2024-06-27,Buffalo,B00061,796,635,20.23,4.5,23.3,Supervisor 2,Day,Completed
PROD00062,Ambur Unit,2024-11-11,Sheep,B00062,644,533,17.24,6.5,72.1,Supervisor 4,Day,Running
PROD00063,Ranipet Unit,2024-06-20,Goat,B00063,564,505,10.46,7.6,71.9,Supervisor 3,Day,Completed
PROD00064,Ranipet Unit,2024-04-15,Cow,B00064,435,378,13.1,11.4,64.8,Supervisor 11,Day,Completed
PROD00065,Vaniyambadi Unit,2024-12-31,Cow,B00065,901,766,14.98,8.3,64.9,Supervisor 12,Night,Running
PROD00066,Chennai Finishing,2025-05-05,Goat,B00066,417,389,6.71,4.8,25.4,Supervisor 4,Night,Completed
PROD00067,Ambur Unit,2024-05-24,Goat,B00067,617,545,11.67,8.1,31.7,Supervisor 7,Night,Completed
PROD00068,Ranipet Unit,2025-10-15,Buffalo,B00068,457,361,21.01,9.6,49.3,Supervisor 10,Night,Running
PROD00069,Ambur Unit,2025-08-14,Goat,B00069,997,871,12.64,9.6,60.6,Supervisor 2,Day,Running
PROD00070,Ambur Unit,2025-01-20,Sheep,B00070,438,360,17.81,6.8,57.3,Supervisor 4,Day,Completed
PROD00071,Ambur Unit,2025-07-14,Cow,B00071,701,556,20.68,9.9,79.6,Supervisor 9,Day,Running
PROD00072,Ranipet Unit,2024-05-10,Buffalo,B00072,986,815,17.34,6.5,29.4,Supervisor 12,Night,Running
PROD00073,Ambur Unit,2025-08-24,Cow,B00073,862,791,8.24,5.4,50.9,Supervisor 3,Night,Completed
PROD00074,Ambur Unit,2024-10-29,Sheep,B00074,402,308,23.38,4.7,35.0,Supervisor 6,Night,Running
PROD00075,Ambur Unit,2024-11-24,Buffalo,B00075,300,275,8.33,4.3,23.5,Supervisor 5,Night,Completed
PROD00076,Ambur Unit,2025-11-18,Cow,B00076,560,469,16.25,11.1,57.0,Supervisor 12,Night,Running
PROD00077,Ranipet Unit,2024-11-23,Sheep,B00077,728,625,14.15,7.3,70.4,Supervisor 7,Day,Running
PROD00078,Ranipet Unit,2024-05-02,Buffalo,B00078,433,410,5.31,8.8,25.9,Supervisor 7,Night,Running
PROD00079,Ranipet Unit,2025-12-01,Cow,B00079,256,194,24.22,11.5,75.0,Supervisor 2,Day,Running
PROD00080,Chennai Finishing,2025-10-18,Sheep,B00080,207,193,6.76,9.5,25.6,Supervisor 1,Day,Completed
PROD00081,Ambur Unit,2025-02-18,Buffalo,B00081,780,624,20.0,7.3,50.2,Supervisor 3,Day,Completed
PROD00082,Ranipet Unit,2025-10-15,Sheep,B00082,748,682,8.82,5.4,66.9,Supervisor 10,Night,Completed
PROD00083,Ranipet Unit,2025-05-23,Cow,B00083,131,112,14.5,10.0,20.7,Supervisor 10,Day,Completed
PROD00084,Ranipet Unit,2025-05-19,Buffalo,B00084,777,707,9.01,10.1,53.1,Supervisor 8,Day,Completed
PROD00085,Ambur Unit,2025-10-22,Sheep,B00085,261,203,22.22,11.3,36.0,Supervisor 6,Night,Completed
PROD00086,Chennai Finishing,2024-05-05,Buffalo,B00086,360,327,9.17,8.9,25.3,Supervisor 6,Day,Completed
PROD00087,Ambur Unit,2024-05-30,Sheep,B00087,439,388,11.62,4.1,42.8,Supervisor 5,Day,Completed
PROD00088,Vaniyambadi Unit,2024-09-25,Cow,B00088,910,852,6.37,7.3,41.5,Supervisor 5,Night,Running
PROD00089,Chennai Finishing,2025-09-13,Goat,B00089,561,527,6.06,4.3,54.8,Supervisor 5,Day,Running
PROD00090,Ranipet Unit,2024-07-28,Cow,B00090,546,452,17.22,4.8,43.3,Supervisor 11,Night,Running
PROD00091,Chennai Finishing,2025-06-27,Sheep,B00091,924,717,22.4,9.8,42.9,Supervisor 7,Day,Completed
PROD00092,Ambur Unit,2025-03-02,Buffalo,B00092,310,256,17.42,11.1,28.3,Supervisor 10,Day,Completed
PROD00093,Vaniyambadi Unit,2025-07-23,Sheep,B00093,200,181,9.5,4.1,36.8,Supervisor 10,Night,Running
PROD00094,Ambur Unit,2024-08-07,Cow,B00094,181,163,9.94,5.7,27.3,Supervisor 12,Night,Running
PROD00095,Vaniyambadi Unit,2025-08-06,Goat,B00095,847,676,20.19,6.5,55.3,Supervisor 2,Night,Running
PROD00096,Ambur Unit,2025-01-05,Buffalo,B00096,928,800,13.79,6.5,27.7,Supervisor 4,Night,Completed
PROD00097,Vaniyambadi Unit,2025-10-16,Cow,B00097,853,709,16.88,10.6,39.9,Supervisor 4,Day,Running
PROD00098,Ranipet Unit,2025-06-06,Sheep,B00098,605,454,24.96,10.5,51.7,Supervisor 7,Night,Running
PROD00099,Vaniyambadi Unit,2025-01-11,Buffalo,B00099,805,710,11.8,11.0,29.5,Supervisor 3,Day,Completed
PROD00100,Vaniyambadi Unit,2025-01-17,Buffalo,B00100,639,507,20.66,4.3,73.9,Supervisor 9,Night,Running
PROD00101,Chennai Finishing,2025-05-11,Sheep,B00101,648,580,10.49,9.1,50.1,Supervisor 10,Night,Running
PROD00102,Vaniyambadi Unit,2025-05-06,Goat,B00102,431,392,9.05,9.9,54.5,Supervisor 10,Night,Running
PROD00103,Ranipet Unit,2025-10-13,Buffalo,B00103,250,191,23.6,4.6,48.7,Supervisor 6,Night,Completed
PROD00104,Chennai Finishing,2024-10-08,Sheep,B00104,615,547,11.06,11.7,25.2,Supervisor 11,Day,Running
PROD00105,Vaniyambadi Unit,2025-03-14,Sheep,B00105,639,528,17.37,6.6,27.2,Supervisor 12,Day,Running
PROD00106,Vaniyambadi Unit,2024-10-01,Sheep,B00106,534,427,20.04,6.8,39.1,Supervisor 6,Night,Running
PROD00107,Chennai Finishing,2025-06-26,Sheep,B00107,214,186,13.08,5.9,63.4,Supervisor 1,Day,Running
PROD00108,Vaniyambadi Unit,2024-03-03,Cow,B00108,854,726,14.99,7.2,31.5,Supervisor 1,Day,Running
PROD00109,Vaniyambadi Unit,2024-06-25,Goat,B00109,689,582,15.53,5.2,51.5,Supervisor 9,Day,Running
PROD00110,Vaniyambadi Unit,2025-05-06,Sheep,B00110,890,785,11.8,7.3,22.9,Supervisor 11,Night,Running
PROD00111,Ambur Unit,2025-10-10,Cow,B00111,770,684,11.17,6.2,67.6,Supervisor 4,Night,Completed
PROD00112,Ranipet Unit,2024-08-12,Sheep,B00112,173,158,8.67,10.0,42.5,Supervisor 9,Night,Running
PROD00113,Ranipet Unit,2024-11-30,Goat,B00113,864,731,15.39,6.2,72.8,Supervisor 6,Day,Completed
PROD00114,Chennai Finishing,2025-05-11,Goat,B00114,502,380,24.3,11.5,69.5,Supervisor 7,Day,Running
PROD00115,Ranipet Unit,2024-07-30,Sheep,B00115,239,181,24.27,11.4,71.2,Supervisor 5,Day,Completed
PROD00116,Ranipet Unit,2025-02-22,Sheep,B00116,713,633,11.22,9.9,75.5,Supervisor 3,Night,Completed
PROD00117,Ranipet Unit,2024-11-24,Buffalo,B00117,274,259,5.47,8.5,71.7,Supervisor 11,Night,Running
PROD00118,Vaniyambadi Unit,2024-04-01,Buffalo,B00118,448,414,7.59,7.1,45.0,Supervisor 4,Night,Running
PROD00119,Ranipet Unit,2024-10-22,Sheep,B00119,589,517,12.22,4.0,53.7,Supervisor 1,Night,Running
PROD00120,Ambur Unit,2025-09-13,Cow,B00120,184,162,11.96,7.6,42.5,Supervisor 2,Day,Running
PROD00121,Ranipet Unit,2025-09-10,Buffalo,B00121,406,312,23.15,6.7,60.3,Supervisor 7,Night,Completed
PROD00122,Vaniyambadi Unit,2025-06-13,Goat,B00122,632,569,9.97,9.3,48.6,Supervisor 8,Night,Running
PROD00123,Ranipet Unit,2025-08-19,Cow,B00123,458,378,17.47,7.9,41.7,Supervisor 5,Night,Completed
PROD00124,Vaniyambadi Unit,2025-03-18,Sheep,B00124,753,690,8.37,9.3,26.1,Supervisor 7,Day,Completed
PROD00125,Ranipet Unit,2025-09-19,Cow,B00125,843,632,25.03,7.9,76.8,Supervisor 12,Day,Running
PROD00126,Vaniyambadi Unit,2025-01-03,Sheep,B00126,985,760,22.84,7.7,79.6,Supervisor 11,Day,Completed
PROD00127,Ranipet Unit,2025-04-18,Sheep,B00127,226,212,6.19,10.9,66.0,Supervisor 10,Night,Completed
PROD00128,Ranipet Unit,2025-07-03,Sheep,B00128,779,595,23.62,5.1,41.1,Supervisor 6,Night,Running
PROD00129,Vaniyambadi Unit,2024-12-16,Goat,B00129,510,408,20.0,9.2,63.9,Supervisor 8,Night,Completed
PROD00130,Ranipet Unit,2025-04-23,Buffalo,B00130,502,430,14.34,9.0,38.8,Supervisor 4,Day,Running
PROD00131,Ambur Unit,2025-11-21,Goat,B00131,481,394,18.09,7.9,55.9,Supervisor 8,Night,Completed
PROD00132,Ambur Unit,2024-06-08,Goat,B00132,769,639,16.91,9.0,27.1,Supervisor 4,Night,Completed
PROD00133,Ranipet Unit,2025-03-30,Cow,B00133,344,272,20.93,6.4,47.9,Supervisor 5,Night,Running
PROD00134,Ranipet Unit,2025-05-19,Sheep,B00134,748,668,10.7,9.8,68.4,Supervisor 12,Day,Running
PROD00135,Ranipet Unit,2025-08-08,Goat,B00135,227,195,14.1,12.0,51.1,Supervisor 4,Night,Running
PROD00136,Chennai Finishing,2024-02-07,Cow,B00136,481,429,10.81,7.7,31.5,Supervisor 7,Day,Completed
PROD00137,Ambur Unit,2025-11-05,Cow,B00137,179,150,16.2,10.1,46.3,Supervisor 1,Night,Running
PROD00138,Ranipet Unit,2025-08-11,Cow,B00138,686,622,9.33,7.9,45.9,Supervisor 10,Day,Running
PROD00139,Chennai Finishing,2024-06-08,Cow,B00139,421,372,11.64,10.0,41.9,Supervisor 4,Night,Running
PROD00140,Ranipet Unit,2024-07-21,Sheep,B00140,511,452,11.55,7.9,34.4,Supervisor 11,Night,Running
PROD00141,Chennai Finishing,2024-05-11,Buffalo,B00141,146,123,15.75,8.3,32.9,Supervisor 2,Day,Completed
PROD00142,Ambur Unit,2024-07-17,Cow,B00142,920,753,18.15,4.6,31.4,Supervisor 10,Night,Running
PROD00143,Ranipet Unit,2025-09-21,Buffalo,B00143,268,227,15.3,7.5,71.1,Supervisor 4,Night,Running
PROD00144,Chennai Finishing,2025-03-28,Cow,B00144,829,749,9.65,11.6,36.1,Supervisor 1,Day,Completed
PROD00145,Chennai Finishing,2025-11-20,Buffalo,B00145,780,593,23.97,10.4,66.5,Supervisor 7,Night,Completed
PROD00146,Vaniyambadi Unit,2024-12-16,Buffalo,B00146,499,456,8.62,11.6,60.2,Supervisor 4,Night,Running
PROD00147,Ambur Unit,2024-05-24,Sheep,B00147,824,746,9.47,7.4,55.0,Supervisor 2,Day,Completed
PROD00148,Vaniyambadi Unit,2024-03-18,Goat,B00148,300,272,9.33,9.0,30.0,Supervisor 3,Night,Completed
PROD00149,Vaniyambadi Unit,2024-12-07,Goat,B00149,210,182,13.33,7.2,65.5,Supervisor 6,Night,Running
PROD00150,Chennai Finishing,2025-01-16,Buffalo,B00150,744,651,12.5,5.4,61.2,Supervisor 6,Night,Running
PROD00151,Ambur Unit,2025-06-29,Goat,B00151,178,137,23.03,4.7,42.9,Supervisor 8,Day,Completed
PROD00152,Ambur Unit,2024-07-30,Cow,B00152,803,656,18.31,9.5,33.0,Supervisor 12,Night,Running
PROD00153,Ranipet Unit,2025-05-23,Cow,B00153,899,692,23.03,6.1,60.2,Supervisor 3,Day,Completed
PROD00154,Vaniyambadi Unit,2024-07-22,Buffalo,B00154,367,323,11.99,6.6,78.5,Supervisor 2,Day,Completed
PROD00155,Vaniyambadi Unit,2025-02-02,Cow,B00155,553,433,21.7,5.6,50.5,Supervisor 7,Night,Running
PROD00156,Ambur Unit,2025-03-07,Sheep,B00156,594,450,24.24,7.5,78.3,Supervisor 4,Night,Running
PROD00157,Ranipet Unit,2024-01-03,Sheep,B00157,247,221,10.53,7.4,49.0,Supervisor 2,Night,Completed
PROD00158,Ambur Unit,2024-10-15,Sheep,B00158,196,166,15.31,8.5,59.4,Supervisor 2,Night,Completed
PROD00159,Vaniyambadi Unit,2025-01-31,Goat,B00159,145,115,20.69,9.2,67.8,Supervisor 5,Night,Running
PROD00160,Ambur Unit,2025-02-14,Cow,B00160,405,312,22.96,6.6,74.4,Supervisor 4,Day,Running
PROD00161,Ambur Unit,2025-08-01,Sheep,B00161,903,841,6.87,9.2,33.8,Supervisor 3,Night,Completed
PROD00162,Chennai Finishing,2025-11-30,Cow,B00162,822,774,5.84,5.0,24.1,Supervisor 6,Day,Completed
PROD00163,Vaniyambadi Unit,2025-08-16,Sheep,B00163,506,480,5.14,7.7,20.6,Supervisor 5,Day,Completed
PROD00164,Ambur Unit,2025-09-04,Buffalo,B00164,440,411,6.59,9.1,43.9,Supervisor 3,Night,Completed
PROD00165,Vaniyambadi Unit,2024-06-27,Cow,B00165,511,464,9.2,7.4,64.1,Supervisor 1,Night,Running
PROD00166,Ambur Unit,2024-05-24,Buffalo,B00166,911,733,19.54,5.6,79.6,Supervisor 9,Day,Running
PROD00167,Ambur Unit,2024-01-05,Sheep,B00167,296,262,11.49,6.9,34.4,Supervisor 6,Day,Running
PROD00168,Ranipet Unit,2025-01-21,Buffalo,B00168,418,341,18.42,10.2,62.4,Supervisor 2,Day,Completed
PROD00169,Ambur Unit,2024-03-31,Buffalo,B00169,852,652,23.47,11.3,34.7,Supervisor 2,Night,Running
PROD00170,Chennai Finishing,2025-08-02,Cow,B00170,625,587,6.08,11.5,40.3,Supervisor 10,Night,Completed
PROD00171,Ambur Unit,2025-05-12,Cow,B00171,604,565,6.46,5.5,40.7,Supervisor 9,Night,Completed
PROD00172,Vaniyambadi Unit,2024-09-16,Sheep,B00172,686,556,18.95,4.0,25.6,Supervisor 7,Night,Completed
PROD00173,Ranipet Unit,2024-08-01,Buffalo,B00173,879,770,12.4,7.6,53.5,Supervisor 2,Night,Running
PROD00174,Chennai Finishing,2024-03-03,Cow,B00174,568,478,15.85,7.1,33.5,Supervisor 6,Night,Completed
PROD00175,Chennai Finishing,2024-08-30,Cow,B00175,962,736,23.49,5.8,30.6,Supervisor 10,Night,Running
PROD00176,Chennai Finishing,2024-09-27,Goat,B00176,441,411,6.8,4.9,20.0,Supervisor 9,Night,Completed
PROD00177,Chennai Finishing,2024-08-10,Cow,B00177,700,567,19.0,8.3,79.4,Supervisor 7,Day,Running
PROD00178,Chennai Finishing,2024-02-22,Sheep,B00178,965,779,19.27,8.8,70.9,Supervisor 6,Night,Running
PROD00179,Ambur Unit,2024-04-20,Cow,B00179,523,479,8.41,7.9,79.6,Supervisor 8,Night,Running
PROD00180,Ranipet Unit,2025-03-04,Goat,B00180,560,460,17.86,7.7,50.7,Supervisor 8,Day,Completed
PROD00181,Vaniyambadi Unit,2024-10-30,Goat,B00181,496,439,11.49,6.1,79.3,Supervisor 1,Day,Completed
PROD00182,Chennai Finishing,2025-06-25,Goat,B00182,723,615,14.94,9.9,20.7,Supervisor 7,Night,Completed
PROD00183,Chennai Finishing,2024-03-10,Buffalo,B00183,986,927,5.98,8.2,75.9,Supervisor 9,Night,Completed
PROD00184,Chennai Finishing,2025-03-27,Sheep,B00184,739,667,9.74,7.5,42.5,Supervisor 1,Day,Running
PROD00185,Chennai Finishing,2025-04-24,Buffalo,B00185,247,203,17.81,11.0,68.5,Supervisor 8,Day,Completed
PROD00186,Vaniyambadi Unit,2025-01-01,Cow,B00186,156,146,6.41,5.0,55.8,Supervisor 3,Day,Completed
PROD00187,Vaniyambadi Unit,2024-10-21,Buffalo,B00187,516,442,14.34,5.3,31.6,Supervisor 4,Day,Completed
PROD00188,Vaniyambadi Unit,2024-09-15,Goat,B00188,320,279,12.81,7.0,67.2,Supervisor 12,Day,Running
PROD00189,Ranipet Unit,2024-08-20,Cow,B00189,679,643,5.3,7.2,40.6,Supervisor 3,Day,Running
PROD00190,Chennai Finishing,2024-11-26,Buffalo,B00190,548,469,14.42,8.8,25.4,Supervisor 9,Night,Completed
PROD00191,Ambur Unit,2024-02-03,Sheep,B00191,593,529,10.79,10.9,35.9,Supervisor 9,Night,Running
PROD00192,Ranipet Unit,2024-09-08,Cow,B00192,644,544,15.53,4.9,54.7,Supervisor 9,Day,Running
PROD00193,Ranipet Unit,2024-05-26,Cow,B00193,270,222,17.78,6.6,78.5,Supervisor 7,Night,Completed
PROD00194,Ambur Unit,2025-05-06,Sheep,B00194,473,386,18.39,8.4,58.3,Supervisor 8,Night,Completed
PROD00195,Vaniyambadi Unit,2025-08-27,Buffalo,B00195,795,624,21.51,5.4,34.9,Supervisor 2,Night,Completed
PROD00196,Ranipet Unit,2025-07-27,Sheep,B00196,195,170,12.82,11.7,75.4,Supervisor 10,Day,Running
PROD00197,Chennai Finishing,2024-06-12,Sheep,B00197,679,580,14.58,5.6,67.9,Supervisor 2,Night,Completed
PROD00198,Ranipet Unit,2025-02-22,Buffalo,B00198,924,750,18.83,8.6,26.8,Supervisor 11,Night,Running
PROD00199,Ambur Unit,2024-08-28,Buffalo,B00199,407,314,22.85,10.1,52.5,Supervisor 9,Day,Running
PROD00200,Ambur Unit,2024-02-12,Buffalo,B00200,104,78,25.0,8.2,38.7,Supervisor 11,Day,Completed
PROD00201,Vaniyambadi Unit,2025-11-02,Cow,B00201,121,94,22.31,4.7,73.2,Supervisor 6,Night,Running
PROD00202,Ranipet Unit,2025-06-26,Sheep,B00202,378,288,23.81,9.0,59.5,Supervisor 12,Day,Completed
PROD00203,Chennai Finishing,2025-03-01,Buffalo,B00203,989,917,7.28,11.0,39.2,Supervisor 12,Day,Completed
PROD00204,Chennai Finishing,2024-09-15,Goat,B00204,464,363,21.77,5.4,23.0,Supervisor 12,Night,Completed
PROD00205,Ranipet Unit,2024-10-26,Buffalo,B00205,592,507,14.36,5.6,54.4,Supervisor 6,Night,Completed
PROD00206,Vaniyambadi Unit,2025-02-11,Cow,B00206,343,304,11.37,7.4,67.7,Supervisor 5,Night,Running
PROD00207,Vaniyambadi Unit,2025-02-14,Sheep,B00207,708,552,22.03,4.6,64.5,Supervisor 9,Night,Completed
PROD00208,Ambur Unit,2024-04-07,Goat,B00208,735,644,12.38,4.4,26.4,Supervisor 7,Night,Running
PROD00209,Vaniyambadi Unit,2024-12-24,Cow,B00209,785,609,22.42,8.6,22.8,Supervisor 9,Day,Running
PROD00210,Vaniyambadi Unit,2025-08-01,Sheep,B00210,229,182,20.52,10.7,69.9,Supervisor 10,Day,Running
PROD00211,Vaniyambadi Unit,2025-08-30,Cow,B00211,699,571,18.31,6.7,77.9,Supervisor 11,Night,Running
PROD00212,Chennai Finishing,2024-08-04,Sheep,B00212,930,720,22.58,4.7,56.1,Supervisor 1,Night,Running
PROD00213,Ranipet Unit,2024-04-23,Goat,B00213,950,890,6.32,11.3,37.9,Supervisor 8,Day,Running
PROD00214,Ranipet Unit,2025-09-07,Cow,B00214,262,216,17.56,8.1,52.7,Supervisor 12,Day,Completed
PROD00215,Chennai Finishing,2025-04-05,Buffalo,B00215,407,358,12.04,10.1,58.7,Supervisor 12,Night,Running
PROD00216,Ranipet Unit,2024-10-31,Buffalo,B00216,275,254,7.64,9.1,31.9,Supervisor 6,Night,Running
PROD00217,Chennai Finishing,2025-01-05,Sheep,B00217,631,535,15.21,4.9,74.2,Supervisor 12,Night,Completed
PROD00218,Ambur Unit,2024-06-09,Cow,B00218,630,581,7.78,10.1,33.6,Supervisor 9,Day,Running
PROD00219,Chennai Finishing,2024-02-21,Cow,B00219,228,184,19.3,9.8,54.1,Supervisor 1,Day,Running
PROD00220,Vaniyambadi Unit,2025-05-04,Sheep,B00220,815,669,17.91,5.0,72.7,Supervisor 7,Night,Completed
PROD00221,Vaniyambadi Unit,2024-02-03,Buffalo,B00221,228,187,17.98,7.3,56.0,Supervisor 1,Day,Running
PROD00222,Ambur Unit,2024-04-12,Goat,B00222,950,832,12.42,5.2,34.5,Supervisor 12,Day,Running
PROD00223,Chennai Finishing,2024-11-14,Cow,B00223,288,263,8.68,6.1,77.6,Supervisor 6,Night,Completed
