Inventory_ID,Warehouse,Leather_Type,Current_Stock,Reserved_Stock,Minimum_Level,Maximum_Level,Reorder_Status
INV00069,Chennai Port Warehouse,Cow,3962,1,1000,12000,OK
INV00070,Chennai Port Warehouse,Buffalo,3944,689,1000,12000,OK
INV00071,Chennai Port Warehouse,Goat,3406,380,1000,12000,OK
INV00072,Chennai Port Warehouse,Buffalo,4199,310,1000,12000,OK
INV00073,Ranipet Warehouse,Goat,804,591,1000,12000,Reorder
INV00074,Vaniyambadi Warehouse,Cow,641,653,1000,12000,Reorder
INV00075,Ranipet Warehouse,Buffalo,9595,716,1000,12000,OK
INV00076,Ambur Warehouse,Buffalo,3345,972,1000,12000,OK
INV00077,Chennai Port Warehouse,Cow,978,249,1000,12000,Reorder
INV00078,Ranipet Warehouse,Cow,7640,16,1000,12000,OK
INV00079,Ambur Warehouse,Cow,3396,39,1000,12000,OK
INV00080,Ambur Warehouse,Goat,865,67,1000,12000,Reorder
INV00081,Ambur Warehouse,Goat,9251,709,1000,12000,OK
INV00082,Chennai Port Warehouse,Buffalo,4111,761,1000,12000,OK
INV00083,Vaniyambadi Warehouse,Sheep,1032,996,1000,12000,OK
INV00084,Ambur Warehouse,Buffalo,7847,142,1000,12000,OK
INV00085,Vaniyambadi Warehouse,Buffalo,1002,962,1000,12000,OK
INV00086,Ambur Warehouse,Cow,3949,359,1000,12000,OK
INV00087,Ambur Warehouse,Sheep,3515,481,1000,12000,OK
INV00088,Vaniyambadi Warehouse,Buffalo,9370,510,1000,12000,OK
INV00089,Vaniyambadi Warehouse,Goat,4256,391,1000,12000,OK
INV00090,Ranipet Warehouse,Buffalo,1134,199,1000,12000,OK
INV00091,Ranipet Warehouse,Buffalo,5778,516,1000,12000,OK
INV00092,Chennai Port Warehouse,Goat,4565,156,1000,12000,OK
INV00093,Vaniyambadi Warehouse,Buffalo,1634,385,1000,12000,OK
INV00094,Vaniyambadi Warehouse,Sheep,7933,366,1000,12000,OK
INV00095,Chennai Port Warehouse,Goat,9449,572,1000,12000,OK
INV00096,Chennai Port Warehouse,Goat,5865,421,1000,12000,OK
INV00097,Vaniyambadi Warehouse,Sheep,3419,714,1000,12000,OK
INV00098,Chennai Port Warehouse,Sheep,9912,946,1000,12000,OK
INV00099,Ambur Warehouse,Cow,2448,301,1000,12000,OK
INV00100,Chennai Port Warehouse,Buffalo,9527,702,1000,12000,OK
INV00101,Ranipet Warehouse,Goat,518,713,1000,12000,Reorder
INV00102,Ranipet Warehouse,Cow,7994,621,1000,12000,OK
INV00103,Ambur Warehouse,Buffalo,1978,102,1000,12000,OK
INV00104,Ambur Warehouse,Goat,9658,197,1000,12000,OK
INV00105,Chennai Port Warehouse,Buffalo,7805,632,1000,12000,OK
INV00106,Chennai Port Warehouse,Buffalo,1981,722,1000,12000,OK
INV00107,Ranipet Warehouse,Cow,3203,61,1000,12000,OK
INV00108,Ranipet Warehouse,Cow,501,883,1000,12000,Reorder
INV00109,Ambur Warehouse,Sheep,9692,995,1000,12000,OK
INV00110,Ambur Warehouse,Buffalo,9433,321,1000,12000,OK
INV00111,Chennai Port Warehouse,Sheep,2652,8,1000,12000,OK
INV00112,Vaniyambadi Warehouse,Sheep,9682,142,1000,12000,OK
INV00113,Ranipet Warehouse,Buffalo,3370,600,1000,12000,OK
INV00114,Ranipet Warehouse,Buffalo,4117,531,1000,12000,OK
INV00115,Chennai Port Warehouse,Goat,3179,253,1000,12000,OK
INV00116,Ranipet Warehouse,Buffalo,7525,869,1000,12000,OK
INV00117,Ranipet Warehouse,Buffalo,7562,553,1000,12000,OK
INV00118,Vaniyambadi Warehouse,Buffalo,7841,217,1000,12000,OK
INV00119,Chennai Port Warehouse,Sheep,8657,857,1000,12000,OK
INV00120,Ambur Warehouse,Goat,6908,975,1000,12000,OK
INV00121,Ambur Warehouse,Buffalo,3634,426,1000,12000,OK
INV00122,Ambur Warehouse,Cow,8284,706,1000,12000,OK
INV00123,Ambur Warehouse,Sheep,4719,979,1000,12000,OK
INV00124,Ambur Warehouse,Buffalo,5492,753,1000,12000,OK
INV00125,Chennai Port Warehouse,Goat,1823,145,1000,12000,OK
INV00126,Chennai Port Warehouse,Goat,6623,642,1000,12000,OK
INV00127,Ambur Warehouse,Cow,1430,492,1000,12000,OK
INV00128,Ambur Warehouse,Sheep,3026,28,1000,12000,OK
INV00129,Chennai Port Warehouse,Sheep,6555,532,1000,12000,OK
INV00130,Chennai Port Warehouse,Buffalo,9295,787,1000,12000,OK
INV00131,Ranipet Warehouse,Goat,6309,74,1000,12000,OK
INV00132,Vaniyambadi Warehouse,Buffalo,9157,709,1000,12000,OK
INV00133,Chennai Port Warehouse,Buffalo,4478,241,1000,12000,OK
INV00134,Ranipet Warehouse,Buffalo,9423,810,1000,12000,OK
INV00135,Ranipet Warehouse,Sheep,1266,917,1000,12000,OK
INV00136,Vaniyambadi Warehouse,Buffalo,8891,693,1000,12000,OK
INV00137,Ambur Warehouse,Cow,8299,867,1000,12000,OK
INV00138,Chennai Port Warehouse,Goat,5495,514,1000,12000,OK
INV00139,Ranipet Warehouse,Goat,4707,863,1000,12000,OK
INV00140,Ranipet Warehouse,Cow,9657,202,1000,12000,OK
INV00141,Vaniyambadi Warehouse,Cow,6117,621,1000,12000,OK
INV00142,Chennai Port Warehouse,Goat,5687,976,1000,12000,OK
INV00143,Vaniyambadi Warehouse,Goat,9048,938,1000,12000,OK
INV00144,Ranipet Warehouse,Buffalo,9887,29,1000,12000,OK
INV00145,Ambur Warehouse,Buffalo,1762,880,1000,12000,OK
INV00146,Chennai Port Warehouse,Goat,1735,876,1000,12000,OK
INV00147,Ranipet Warehouse,Buffalo,5388,546,1000,12000,OK
INV00148,Ambur Warehouse,Cow,3667,297,1000,12000,OK
INV00149,Chennai Port Warehouse,Buffalo,7885,444,1000,12000,OK
INV00150,Ranipet Warehouse,Cow,4083,576,1000,12000,OK
INV00151,Vaniyambadi Warehouse,Cow,3378,776,1000,12000,OK
INV00152,Chennai Port Warehouse,Goat,1910,406,1000,12000,OK
INV00153,Ambur Warehouse,Goat,6472,276,1000,12000,OK
INV00154,Ambur Warehouse,Cow,949,205,1000,12000,Reorder
INV00155,Ranipet Warehouse,Cow,9645,722,1000,12000,OK
INV00156,Ambur Warehouse,Sheep,3392,41,1000,12000,OK
INV00157,Ambur Warehouse,Sheep,6013,581,1000,12000,OK
INV00158,Ambur Warehouse,Sheep,9282,294,1000,12000,OK
INV00159,Ranipet Warehouse,Goat,1525,417,1000,12000,OK
INV00160,Ranipet Warehouse,Cow,6509,925,1000,12000,OK
INV00161,Vaniyambadi Warehouse,Goat,1691,483,1000,12000,OK
INV00162,Chennai Port Warehouse,Cow,7802,536,1000,12000,OK
INV00163,Ranipet Warehouse,Buffalo,846,723,1000,12000,Reorder
INV00164,Vaniyambadi Warehouse,Goat,5174,795,1000,12000,OK
INV00165,Ambur Warehouse,Buffalo,1950,309,1000,12000,OK
INV00166,Ambur Warehouse,Buffalo,7608,182,1000,12000,OK
INV00167,Chennai Port Warehouse,Sheep,2873,179,1000,12000,OK
INV00168,Chennai Port Warehouse,Goat,9229,40,1000,12000,OK
INV00169,Vaniyambadi Warehouse,Goat,9740,336,1000,12000,OK
INV00170,Ambur Warehouse,Goat,8688,98,1000,12000,OK
INV00171,Ambur Warehouse,Buffalo,4306,353,1000,12000,OK
INV00172,Ambur Warehouse,Sheep,1338,361,1000,12000,OK
INV00173,Ranipet Warehouse,Goat,8955,500,1000,12000,OK
INV00174,Chennai Port Warehouse,Sheep,6380,618,1000,12000,OK
INV00175,Ambur Warehouse,Goat,1814,508,1000,12000,OK
INV00176,Ambur Warehouse,Sheep,1872,987,1000,12000,OK
INV00177,Chennai Port Warehouse,Buffalo,1699,782,1000,12000,OK
INV00178,Ambur Warehouse,Buffalo,7410,601,1000,12000,OK
INV00179,Ranipet Warehouse,Goat,9996,661,1000,12000,OK
INV00180,Ambur Warehouse,Goat,4627,539,1000,12000,OK
INV00181,Ranipet Warehouse,Cow,1475,337,1000,12000,OK
INV00182,Vaniyambadi Warehouse,Cow,3791,821,1000,12000,OK
INV00183,Ambur Warehouse,Cow,6652,932,1000,12000,OK
INV00184,Vaniyambadi Warehouse,Buffalo,4923,628,1000,12000,OK
INV00185,Ambur Warehouse,Cow,8112,633,1000,12000,OK
INV00186,Ranipet Warehouse,Buffalo,3972,931,1000,12000,OK
INV00187,Ambur Warehouse,Buffalo,8143,239,1000,12000,OK
INV00188,Ranipet Warehouse,Cow,5192,885,1000,12000,OK
INV00189,Ambur Warehouse,Cow,7597,992,1000,12000,OK
INV00190,Ambur Warehouse,Cow,3508,135,1000,12000,OK
INV00191,Vaniyambadi Warehouse,Buffalo,823,931,1000,12000,Reorder
INV00192,Ranipet Warehouse,Cow,5189,259,1000,12000,OK
INV00193,Vaniyambadi Warehouse,Cow,7155,169,1000,12000,OK
INV00194,Ambur Warehouse,Cow,3501,408,1000,12000,OK
INV00195,Ambur Warehouse,Sheep,4205,961,1000,12000,OK
INV00196,Chennai Port Warehouse,Goat,4510,286,1000,12000,OK
INV00197,Vaniyambadi Warehouse,Buffalo,2992,901,1000,12000,OK
INV00198,Chennai Port Warehouse,Cow,2406,542,1000,12000,OK
INV00199,Vaniyambadi Warehouse,Cow,5236,158,1000,12000,OK
INV00200,Ambur Warehouse,Cow,5716,292,1000,12000,OK
INV00201,Vaniyambadi Warehouse,Sheep,4745,632,1000,12000,OK
INV00202,Vaniyambadi Warehouse,Buffalo,3793,937,1000,12000,OK
INV00203,Ambur Warehouse,Sheep,6874,861,1000,12000,OK
INV00204,Chennai Port Warehouse,Sheep,2830,931,1000,12000,OK
INV00205,Ranipet Warehouse,Goat,3253,575,1000,12000,OK
INV00206,Ambur Warehouse,Cow,733,325,1000,12000,Reorder
INV00207,Ambur Warehouse,Cow,2667,751,1000,12000,OK
INV00208,Vaniyambadi Warehouse,Goat,3496,757,1000,12000,OK
INV00209,Vaniyambadi Warehouse,Sheep,6584,743,1000,12000,OK
INV00210,Vaniyambadi Warehouse,Cow,2416,914,1000,12000,OK
INV00211,Vaniyambadi Warehouse,Cow,4950,365,1000,12000,OK
INV00212,Ambur Warehouse,Cow,3705,199,1000,12000,OK
INV00213,Chennai Port Warehouse,Sheep,4504,616,1000,12000,OK
INV00214,Vaniyambadi Warehouse,Goat,2679,601,1000,12000,OK
INV00215,Ambur Warehouse,Sheep,6476,803,1000,12000,OK
INV00216,Vaniyambadi Warehouse,Sheep,9893,596,1000,12000,OK
INV00217,Chennai Port Warehouse,Buffalo,9733,191,1000,12000,OK
INV00218,Ranipet Warehouse,Buffalo,5346,596,1000,12000,OK
INV00219,Chennai Port Warehouse,Cow,3691,175,1000,12000,OK
INV00220,Ambur Warehouse,Cow,4315,837,1000,12000,OK
INV00221,Vaniyambadi Warehouse,Cow,3733,257,1000,12000,OK
INV00222,Chennai Port Warehouse,Sheep,932,968,1000,12000,Reorder
INV00223,Ambur Warehouse,Goat,9318,982,1000,12000,OK
INV00224,Ambur Warehouse,Sheep,2290,530,1000,12000,OK
INV00225,Ranipet Warehouse,Buffalo,8272,597,1000,12000,OK
INV00226,Vaniyambadi Warehouse,Goat,888,748,1000,12000,Reorder
INV00227,Chennai Port Warehouse,Sheep,3525,143,1000,12000,OK
INV00228,Ranipet Warehouse,Sheep,1555,467,1000,12000,OK
INV00229,Chennai Port Warehouse,Cow,4403,237,1000,12000,OK
INV00230,Vaniyambadi Warehouse,Buffalo,8759,826,1000,12000,OK
INV00231,Chennai Port Warehouse,Sheep,5919,101,1000,12000,OK
INV00232,Vaniyambadi Warehouse,Buffalo,1160,882,1000,12000,OK
INV00233,Ranipet Warehouse,Sheep,1702,280,1000,12000,OK
INV00234,Ambur Warehouse,Buffalo,5097,868,1000,12000,OK
INV00235,Vaniyambadi Warehouse,Goat,9798,567,1000,12000,OK
INV00236,Chennai Port Warehouse,Buffalo,8856,546,1000,12000,OK
INV00237,Chennai Port Warehouse,Cow,9061,123,1000,12000,OK
INV00238,Ambur Warehouse,Cow,5401,763,1000,12000,OK
INV00239,Ambur Warehouse,Buffalo,6216,866,1000,12000,OK
INV00240,Ambur Warehouse,Cow,8633,283,1000,12000,OK
INV00241,Vaniyambadi Warehouse,Goat,8730,65,1000,12000,OK
INV00242,Ambur Warehouse,Goat,7420,824,1000,12000,OK
INV00243,Ambur Warehouse,Cow,5240,76,1000,12000,OK
INV00244,Ranipet Warehouse,Cow,6088,81,1000,12000,OK
INV00245,Ambur Warehouse,Buffalo,8094,198,1000,12000,OK
INV00246,Ambur Warehouse,Cow,915,181,1000,12000,Reorder
INV00247,Ranipet Warehouse,Sheep,3013,860,1000,12000,OK
INV00248,Ambur Warehouse,Cow,3742,1000,1000,12000,OK
INV00249,Ranipet Warehouse,Goat,8129,577,1000,12000,OK
INV00250,Ranipet Warehouse,Sheep,4540,991,1000,12000,OK
INV00251,Ranipet Warehouse,Sheep,3924,819,1000,12000,OK
INV00252,Vaniyambadi Warehouse,Goat,6818,733,1000,12000,OK
INV00253,Ranipet Warehouse,Goat,2951,176,1000,12000,OK
INV00254,Ranipet Warehouse,Goat,5739,585,1000,12000,OK
INV00255,Chennai Port Warehouse,Buffalo,1306,988,1000,12000,OK
INV00256,Vaniyambadi Warehouse,Buffalo,7379,421,1000,12000,OK
INV00257,Chennai Port Warehouse,Sheep,8345,984,1000,12000,OK
INV00258,Ranipet Warehouse,Buffalo,6115,62,1000,12000,OK
INV00259,Ranipet Warehouse,Sheep,2810,390,1000,12000,OK
INV00260,Ambur Warehouse,Goat,9945,907,1000,12000,OK
INV00261,Ranipet Warehouse,Sheep,2278,122,1000,12000,OK
INV00262,Ambur Warehouse,Goat,9362,513,1000,12000,OK
INV00263,Chennai Port Warehouse,Sheep,3120,885,1000,12000,OK
INV00264,Ranipet Warehouse,Goat,9088,552,1000,12000,OK
INV00265,Vaniyambadi Warehouse,Cow,8771,959,1000,12000,OK
INV00266,Vaniyambadi Warehouse,Buffalo,9580,142,1000,12000,OK
INV00267,Ranipet Warehouse,Cow,4806,952,1000,12000,OK
INV00268,Chennai Port Warehouse,Goat,3520,702,1000,12000,OK
INV00269,Vaniyambadi Warehouse,Goat,8352,981,1000,12000,OK
INV00270,Ambur Warehouse,Sheep,3434,814,1000,12000,OK
INV00271,Ambur Warehouse,Goat,6813,333,1000,12000,OK
INV00272,Ambur Warehouse,Cow,9031,984,1000,12000,OK
INV00273,Ranipet Warehouse,Cow,2857,846,1000,12000,OK
INV00274,Vaniyambadi Warehouse,Buffalo,4323,311,1000,12000,OK
INV00275,Vaniyambadi Warehouse,Goat,9307,626,1000,12000,OK
INV00276,Vaniyambadi Warehouse,Goat,3067,403,1000,12000,OK
INV00277,Chennai Port Warehouse,Buffalo,9525,770,1000,12000,OK
INV00278,Chennai Port Warehouse,Sheep,3229,183,1000,12000,OK
INV00279,Ambur Warehouse,Sheep,6841,421,1000,12000,OK
INV00280,Ranipet Warehouse,Cow,6012,24,1000,12000,OK
INV00281,Ambur Warehouse,Goat,3578,288,1000,12000,OK
INV00282,Chennai Port Warehouse,Sheep,2093,266,1000,12000,OK
INV00283,Ambur Warehouse,Goat,890,954,1000,12000,Reorder
INV00284,Ranipet Warehouse,Buffalo,8529,620,1000,12000,OK
INV00285,Ambur Warehouse,Buffalo,6454,574,1000,12000,OK
INV00286,Chennai Port Warehouse,Goat,8929,418,1000,12000,OK
INV00287,Ranipet Warehouse,Cow,6444,125,1000,12000,OK
INV00288,Ranipet Warehouse,Buffalo,8923,536,1000,12000,OK
INV00289,Ranipet Warehouse,Buffalo,7971,546,1000,12000,OK
INV00290,Chennai Port Warehouse,Buffalo,1235,36,1000,12000,OK
INV00291,Ambur Warehouse,Sheep,2300,303,1000,12000,OK
INV00292,Vaniyambadi Warehouse,Goat,2845,231,1000,12000,OK
INV00293,Vaniyambadi Warehouse,Buffalo,8566,618,1000,12000,OK
INV00294,Vaniyambadi Warehouse,Cow,4470,430,1000,12000,OK
INV00295,Ranipet Warehouse,Buffalo,1547,650,1000,12000,OK
INV00296,Chennai Port Warehouse,Cow,8717,23,1000,12000,OK
INV00297,Chennai Port Warehouse,Buffalo,9419,605,1000,12000,OK
INV00298,Vaniyambadi Warehouse,Sheep,7732,455,1000,12000,OK
INV00299,Chennai Port Warehouse,Sheep,1470,556,1000,12000,OK
INV00300,Vaniyambadi Warehouse,Cow,9856,295,1000,12000,OK
INV00301,Ambur Warehouse,Sheep,5113,558,1000,12000,OK
INV00302,Ambur Warehouse,Buffalo,5072,553,1000,12000,OK
INV00303,Vaniyambadi Warehouse,Buffalo,953,805,1000,12000,Reorder
INV00304,Chennai Port Warehouse,Cow,9008,489,1000,12000,OK
INV00305,Ranipet Warehouse,Cow,9795,208,1000,12000,OK
INV00306,Vaniyambadi Warehouse,Goat,1857,507,1000,12000,OK
INV00307,Ambur Warehouse,Goat,4291,615,1000,12000,OK
INV00308,Ranipet Warehouse,Goat,1444,918,1000,12000,OK
INV00309,Ranipet Warehouse,Sheep,7875,374,1000,12000,OK
INV00310,Chennai Port Warehouse,Goat,5685,749,1000,12000,OK
INV00311,Chennai Port Warehouse,Cow,6870,327,1000,12000,OK
INV00312,Vaniyambadi Warehouse,Goat,5971,30,1000,12000,OK
INV00313,Vaniyambadi Warehouse,Cow,7544,60,1000,12000,OK
INV00314,Ranipet Warehouse,Sheep,2344,326,1000,12000,OK
INV00315,Chennai Port Warehouse,Buffalo,6358,482,1000,12000,OK
INV00316,Ranipet Warehouse,Cow,6495,925,1000,12000,OK
INV00317,Chennai Port Warehouse,Cow,1003,966,1000,12000,OK
INV00318,Ambur Warehouse,Buffalo,5934,365,1000,12000,OK
INV00319,Ambur Warehouse,Sheep,2838,358,1000,12000,OK
INV00320,Ambur Warehouse,Buffalo,2376,495,1000,12000,OK
INV00321,Chennai Port Warehouse,Sheep,2716,71,1000,12000,OK
INV00322,Ranipet Warehouse,Buffalo,9853,182,1000,12000,OK
INV00323,Ranipet Warehouse,Cow,9676,56,1000,12000,OK
INV00324,Chennai Port Warehouse,Buffalo,8861,12,1000,12000,OK
INV00325,Ambur Warehouse,Buffalo,1542,704,1000,12000,OK
INV00326,Vaniyambadi Warehouse,Goat,1546,102,1000,12000,OK
INV00327,Ambur Warehouse,Sheep,3435,853,1000,12000,OK
INV00328,Ranipet Warehouse,Buffalo,6191,553,1000,12000,OK
INV00329,Vaniyambadi Warehouse,Sheep,9137,956,1000,12000,OK
INV00330,Ranipet Warehouse,Goat,8777,141,1000,12000,OK
INV00331,Vaniyambadi Warehouse,Buffalo,523,6,1000,12000,Reorder
INV00332,Vaniyambadi Warehouse,Sheep,5832,583,1000,12000,OK
INV00333,Ranipet Warehouse,Sheep,5628,777,1000,12000,OK
INV00334,Vaniyambadi Warehouse,Buffalo,7276,633,1000,12000,OK
INV00335,Vaniyambadi Warehouse,Goat,1672,796,1000,12000,OK
INV00336,Ambur Warehouse,Cow,5718,879,1000,12000,OK
INV00337,Vaniyambadi Warehouse,Buffalo,7769,287,1000,12000,OK
INV00338,Ambur Warehouse,Goat,7968,511,1000,12000,OK
INV00339,Ambur Warehouse,Cow,7880,312,1000,12000,OK
INV00340,Vaniyambadi Warehouse,Cow,6976,147,1000,12000,OK
INV00341,Ranipet Warehouse,Sheep,1209,679,1000,12000,OK
INV00342,Vaniyambadi Warehouse,Buffalo,2635,556,1000,12000,OK
INV00343,Vaniyambadi Warehouse,Buffalo,7043,336,1000,12000,OK
INV00344,Ambur Warehouse,Sheep,5406,114,1000,12000,OK
INV00345,Ambur Warehouse,Sheep,7492,646,1000,12000,OK
INV00346,Ranipet Warehouse,Buffalo,7646,948,1000,12000,OK
INV00347,Ranipet Warehouse,Cow,6295,865,1000,12000,OK
INV00348,Chennai Port Warehouse,Cow,8032,239,1000,12000,OK
INV00349,Vaniyambadi Warehouse,Goat,7375,257,1000,12000,OK
INV00350,Chennai Port Warehouse,Goat,8914,291,1000,12000,OK
INV00351,Ambur Warehouse,Sheep,8961,377,1000,12000,OK
INV00352,Ranipet Warehouse,Buffalo,5007,666,1000,12000,OK
INV00353,Ambur Warehouse,Sheep,8894,559,1000,12000,OK
INV00354,Ambur Warehouse,Buffalo,4945,451,1000,12000,OK
INV00355,Chennai Port Warehouse,Buffalo,4417,777,1000,12000,OK
INV00356,Ambur Warehouse,Goat,9304,588,1000,12000,OK
INV00357,Ambur Warehouse,Buffalo,2464,381,1000,12000,OK
INV00358,Ambur Warehouse,Sheep,6011,793,1000,12000,OK
INV00359,Vaniyambadi Warehouse,Sheep,9852,643,1000,12000,OK
INV00360,Ranipet Warehouse,Goat,4798,486,1000,12000,OK
INV00361,Chennai Port Warehouse,Cow,5853,353,1000,12000,OK
INV00362,Ranipet Warehouse,Cow,9389,808,1000,12000,OK
INV00363,Ambur Warehouse,Goat,3379,77,1000,12000,OK
INV00364,Chennai Port Warehouse,Buffalo,2643,194,1000,12000,OK
INV00365,Vaniyambadi Warehouse,Cow,7776,901,1000,12000,OK
INV00366,Vaniyambadi Warehouse,Goat,6569,94,1000,12000,OK
INV00367,Vaniyambadi Warehouse,Buffalo,1907,126,1000,12000,OK
INV00368,Vaniyambadi Warehouse,Goat,3741,157,1000,12000,OK
INV00369,Chennai Port Warehouse,Goat,8152,333,1000,12000,OK
INV00370,Chennai Port Warehouse,Cow,872,296,1000,12000,Reorder
INV00371,Vaniyambadi Warehouse,Buffalo,2025,862,1000,12000,OK
INV00372,Vaniyambadi Warehouse,Sheep,3012,191,1000,12000,OK
INV00373,Chennai Port Warehouse,Goat,7035,939,1000,12000,OK
INV00374,Chennai Port Warehouse,Goat,6318,562,1000,12000,OK
INV00375,Vaniyambadi Warehouse,Buffalo,505,260,1000,12000,Reorder
INV00376,Vaniyambadi Warehouse,Buffalo,3027,48,1000,12000,OK
INV00377,Ranipet Warehouse,Cow,1161,493,1000,12000,OK
INV00378,Ambur Warehouse,Goat,8938,609,1000,12000,OK
INV00379,Ambur Warehouse,Goat,701,556,1000,12000,Reorder
INV00380,Chennai Port Warehouse,Goat,2828,287,1000,12000,OK
INV00381,Chennai Port Warehouse,Goat,2728,767,1000,12000,OK
INV00382,Ranipet Warehouse,Buffalo,5680,345,1000,12000,OK
INV00383,Ambur Warehouse,Goat,6794,143,1000,12000,OK
INV00384,Ambur Warehouse,Cow,6182,902,1000,12000,OK
INV00385,Ambur Warehouse,Cow,6767,670,1000,12000,OK
INV00386,Ambur Warehouse,Buffalo,5126,362,1000,12000,OK
INV00387,Vaniyambadi Warehouse,Sheep,1140,28,1000,12000,OK
INV00388,Ranipet Warehouse,Goat,4139,875,1000,12000,OK
INV00389,Vaniyambadi Warehouse,Goat,8019,206,1000,12000,OK
INV00390,Ambur Warehouse,Cow,1624,198,1000,12000,OK
INV00391,Ranipet Warehouse,Goat,786,322,1000,12000,Reorder
