Transaction_ID,Order_ID,Revenue,Raw_Material_Cost,Labor_Cost,Power_Cost,Transport_Cost,Profit,Profit_Margin,Payment_Status
TXN00023,ORD00023,1636410,669905.35,152439.87,89852.25,74884.57,649327.96,39.68,Paid
TXN00024,ORD00024,1103303,465805.7,160305.64,63638.93,68573.04,344979.69,31.27,Paid
TXN00025,ORD00025,400201,191697.15,33660.73,14710.95,25483.82,134648.35,33.65,Paid
TXN00026,ORD00026,2405587,947345.44,244406.68,66777.13,113734.9,1033322.85,42.96,Paid
TXN00027,ORD00027,2083931,910584.61,230594.87,44466.89,99023.41,799261.22,38.35,Paid
TXN00028,ORD00028,674519,250679.58,96390.78,20427.19,42972.11,264049.34,39.15,Pending
TXN00029,ORD00029,1565707,604057.9,220572.32,42283.8,78081.22,620711.75,39.64,Paid
TXN00030,ORD00030,403099,190156.02,35429.3,9553.21,18103.55,149856.92,37.18,Pending
TXN00031,ORD00031,2250517,1111204.07,322973.79,59428.78,106051.92,650858.44,28.92,Paid
TXN00032,ORD00032,107912,52991.3,13268.75,4094.53,7307.74,30249.68,28.03,Paid
TXN00033,ORD00033,2976915,1296982.06,332818.01,67219.32,140944.64,1138950.97,38.26,Pending
TXN00034,ORD00034,1682465,597099.25,173893.63,54152.62,72739.05,784580.46,46.63,Pending
TXN00035,ORD00035,2856383,1024645.46,350779.26,116032.42,167131.35,1197794.51,41.93,Pending
TXN00036,ORD00036,544856,209018.09,73869.9,27677.2,25274.97,209015.84,38.36,Pending
TXN00037,ORD00037,288759,108848.63,37543.93,6329.91,10989.53,125047.0,43.3,Paid
TXN00038,ORD00038,1894150,916280.04,244684.13,58432.15,61800.07,612953.62,32.36,Paid
TXN00039,ORD00039,1286152,558303.62,141309.04,45950.48,72725.28,467863.58,36.38,Paid
TXN00040,ORD00040,1400002,610672.39,197864.34,67029.46,99980.73,424455.08,30.32,Pending
TXN00041,ORD00041,1591306,583998.05,147214.34,87140.0,81864.67,691088.94,43.43,Paid
TXN00042,ORD00042,2822843,1172387.21,303819.65,163958.34,168953.67,1013724.13,35.91,Pending
TXN00043,ORD00043,1410034,651678.42,205653.66,76659.82,47196.51,428845.59,30.41,Pending
TXN00044,ORD00044,358480,167609.28,36200.37,20403.03,12110.86,122156.47,34.08,Paid
TXN00045,ORD00045,2955678,1433627.52,316249.59,124354.78,142979.72,938466.39,31.75,Paid
TXN00046,ORD00046,2343005,969753.22,188254.4,75264.35,187120.63,922612.39,39.38,Paid
TXN00047,ORD00047,2597684,1028776.79,272268.11,144235.25,109791.34,1042612.5,40.14,Paid
TXN00048,ORD00048,1832394,878542.01,152019.59,51010.4,70016.52,680805.49,37.15,Pending
TXN00049,ORD00049,2491975,1028697.08,358993.16,79686.35,178569.02,846029.38,33.95,Paid
TXN00050,ORD00050,2127100,898330.86,290334.91,68368.68,144556.97,725508.57,34.11,Pending
TXN00051,ORD00051,1992692,933600.75,207858.36,67526.99,84930.37,698775.54,35.07,Pending
TXN00052,ORD00052,812287,347709.47,118670.38,47506.86,36365.59,262034.71,32.26,Paid
TXN00053,ORD00053,193687,83589.45,19649.41,4153.69,14588.56,71705.89,37.02,Pending
TXN00054,ORD00054,2974498,1403519.78,308331.76,64309.4,89664.83,1108672.24,37.27,Pending
TXN00055,ORD00055,1753496,854047.53,143779.23,56873.78,52804.57,645990.88,36.84,Paid
TXN00056,ORD00056,2747675,1356562.14,281587.56,150100.49,96020.3,863404.51,31.42,Paid
TXN00057,ORD00057,1388587,514221.85,115759.19,65432.77,102082.34,591090.86,42.57,Paid
TXN00058,ORD00058,2880876,1288359.5,324626.83,151499.34,169618.34,946771.99,32.86,Paid
TXN00059,ORD00059,346363,147236.19,37638.08,8411.04,18860.54,134217.14,38.75,Pending
TXN00060,ORD00060,2530825,1119919.25,241708.99,119629.83,174296.77,875270.16,34.58,Paid
TXN00061,ORD00061,937196,461062.32,88432.1,25859.48,47790.57,314051.53,33.51,Pending
TXN00062,ORD00062,2431390,1111266.81,270744.21,103395.11,140299.91,805683.96,33.14,Paid
TXN00063,ORD00063,362760,140198.84,33052.96,13643.28,11204.91,164660.01,45.39,Paid
TXN00064,ORD00064,1696630,625870.82,180456.82,74082.81,121490.18,694729.37,40.95,Paid
TXN00065,ORD00065,2969588,1185561.45,343732.53,152974.54,192748.64,1094570.84,36.86,Paid
TXN00066,ORD00066,398779,180603.15,39081.25,9458.3,13956.94,155679.36,39.04,Pending
TXN00067,ORD00067,1571580,560131.41,197373.76,40430.42,90047.96,683596.46,43.5,Pending
TXN00068,ORD00068,1039326,421418.58,136293.02,54340.46,78847.98,348425.96,33.52,Paid
TXN00069,ORD00069,2697974,1017238.22,240310.07,148313.88,165332.94,1126778.89,41.76,Paid
TXN00070,ORD00070,693439,246084.03,68639.98,20428.44,55282.07,303004.48,43.7,Pending
TXN00071,ORD00071,1685685,693016.96,242204.81,43264.1,67920.74,639278.39,37.92,Pending
TXN00072,ORD00072,2807427,1296402.0,344357.64,140095.82,142059.16,884512.38,31.51,Pending
TXN00073,ORD00073,1940323,740506.99,163159.57,42845.26,79173.97,914637.21,47.14,Pending
TXN00074,ORD00074,1464901,614106.4,213479.06,56101.03,107982.82,473231.69,32.3,Paid
TXN00075,ORD00075,661733,273848.1,97466.04,16827.66,48245.7,225345.49,34.05,Pending
TXN00076,ORD00076,2280424,1096627.65,267866.76,124057.34,130843.69,661028.56,28.99,Pending
TXN00077,ORD00077,1251193,574789.72,116307.49,28775.26,52993.91,478326.62,38.23,Pending
TXN00078,ORD00078,2060199,833592.06,271849.91,78380.05,75614.55,800762.43,38.87,Paid
TXN00079,ORD00079,1006062,354570.37,102350.49,43451.43,59486.51,446203.2,44.35,Pending
TXN00080,ORD00080,660472,257839.12,85682.04,19205.76,34207.57,263537.5,39.9,Pending
TXN00081,ORD00081,2123304,1024088.93,199437.39,100127.69,118664.44,680985.55,32.07,Paid
TXN00082,ORD00082,1676361,787122.58,188861.28,43760.76,117385.67,539230.71,32.17,Paid
TXN00083,ORD00083,776107,304387.75,115582.62,42440.64,48216.94,265479.05,34.21,Pending
TXN00084,ORD00084,2908526,1447278.58,353506.25,122768.47,171075.53,813897.18,27.98,Paid
TXN00085,ORD00085,1294828,467388.05,193013.6,60511.94,58112.23,515802.19,39.84,Pending
TXN00086,ORD00086,2768275,1021649.41,370055.32,98729.92,98441.98,1179398.38,42.6,Paid
TXN00087,ORD00087,536711,243780.86,67708.14,23539.29,42217.82,159464.89,29.71,Pending
TXN00088,ORD00088,2117176,743955.92,308670.14,94972.96,108246.13,861330.86,40.68,Pending
TXN00089,ORD00089,2046293,912247.88,192450.6,58674.88,142906.91,740012.73,36.16,Paid
TXN00090,ORD00090,2077775,788127.93,218596.43,96889.78,88823.34,885337.53,42.61,Pending
TXN00091,ORD00091,2480094,1199321.41,299852.9,126130.14,168121.67,686667.88,27.69,Pending
TXN00092,ORD00092,868284,391843.06,89823.16,18815.45,68635.69,299166.63,34.45,Pending
TXN00093,ORD00093,1236156,526721.05,102952.26,63182.0,49344.99,493955.68,39.96,Paid
TXN00094,ORD00094,2791263,1137984.46,393296.46,57111.28,177458.42,1025412.38,36.74,Pending
TXN00095,ORD00095,1341334,485946.83,124813.61,58663.85,103710.58,568199.13,42.36,Paid
TXN00096,ORD00096,1230189,538474.51,142932.29,43973.86,79957.15,424851.2,34.54,Pending
TXN00097,ORD00097,900401,342228.83,104123.16,28344.33,42238.77,383465.91,42.59,Pending
TXN00098,ORD00098,1912370,885068.88,212925.0,58263.96,141068.09,615044.06,32.16,Paid
TXN00099,ORD00099,221584,89382.15,28554.05,4585.64,9954.27,89107.89,40.21,Paid
TXN00100,ORD00100,346684,164228.4,51110.85,15306.93,23448.89,92588.93,26.71,Paid
TXN00101,ORD00101,2216897,883343.79,229213.45,100210.28,84311.84,919817.65,41.49,Paid
TXN00102,ORD00102,745945,287386.54,71576.53,21803.19,56356.44,308822.29,41.4,Paid
TXN00103,ORD00103,2388088,1190917.79,304637.92,112080.71,127693.21,652758.36,27.33,Pending
TXN00104,ORD00104,2206458,1100903.83,229102.41,61554.16,85590.08,729307.52,33.05,Paid
TXN00105,ORD00105,1409793,663570.17,133073.39,60604.73,111264.58,441280.13,31.3,Paid
TXN00106,ORD00106,1012029,447183.73,120796.58,51081.09,69241.75,323725.85,31.99,Paid
TXN00107,ORD00107,1435885,580968.87,130537.19,76029.96,67630.73,580718.26,40.44,Pending
TXN00108,ORD00108,1601560,767692.23,222342.26,72685.29,89950.36,448889.86,28.03,Pending
TXN00109,ORD00109,1853631,739121.61,231919.59,50965.8,58358.37,773265.63,41.72,Pending
TXN00110,ORD00110,1485139,644022.97,187948.27,61498.73,56182.82,535486.2,36.06,Paid
TXN00111,ORD00111,1982286,909416.56,272266.58,68585.05,127885.47,604132.34,30.48,Pending
TXN00112,ORD00112,1322311,549366.78,134169.65,50033.65,83782.96,504957.96,38.19,Paid
TXN00113,ORD00113,2887318,1093465.08,405177.03,108984.4,194702.36,1084989.13,37.58,Paid
TXN00114,ORD00114,1782516,832089.27,166892.3,85939.87,129651.25,567943.31,31.86,Pending
TXN00115,ORD00115,1981637,840548.07,185683.61,62644.75,86680.4,806080.17,40.68,Pending
TXN00116,ORD00116,2399243,880951.13,339921.84,122133.53,167418.59,888817.91,37.05,Paid
TXN00117,ORD00117,1735969,618474.23,156150.93,96207.53,126290.71,738845.6,42.56,Paid
TXN00118,ORD00118,359206,132970.58,32983.66,12735.42,16026.72,164489.62,45.79,Paid
TXN00119,ORD00119,2174448,842448.42,242445.32,91620.59,77918.52,920015.15,42.31,Paid
TXN00120,ORD00120,2872938,1052440.0,423597.28,86936.23,177379.84,1132584.64,39.42,Pending
TXN00121,ORD00121,1655709,643012.33,212584.34,34147.82,95390.4,670574.12,40.5,Pending
TXN00122,ORD00122,902779,347185.74,124695.73,49870.91,68999.62,312027.01,34.56,Paid
TXN00123,ORD00123,2913613,1415384.39,431652.18,62891.79,174602.12,829082.51,28.46,Paid
TXN00124,ORD00124,2369918,927266.59,223807.93,85771.87,128036.34,1005035.26,42.41,Pending
TXN00125,ORD00125,554769,221750.8,58436.33,26394.59,41075.47,207111.81,37.33,Pending
TXN00126,ORD00126,2253078,1120602.68,267791.72,62145.84,103564.86,698972.89,31.02,Pending
TXN00127,ORD00127,367752,182985.01,31449.02,16774.12,12119.36,124424.49,33.83,Pending
TXN00128,ORD00128,2695102,1344871.31,268390.31,68021.51,214199.18,799619.7,29.67,Paid
TXN00129,ORD00129,947793,358421.43,131591.43,20221.11,46641.24,390917.79,41.25,Paid
TXN00130,ORD00130,2754451,1282230.35,321576.36,131849.45,149880.77,868914.08,31.55,Paid
TXN00131,ORD00131,353615,149707.42,42273.69,15711.07,18619.68,127303.15,36.0,Pending
TXN00132,ORD00132,2616987,1215044.67,283806.95,142542.68,197230.94,778361.76,29.74,Paid
TXN00133,ORD00133,1138358,407574.97,122381.64,57634.58,86938.34,463828.47,40.75,Paid
TXN00134,ORD00134,1438777,517317.49,183292.79,40248.66,70036.21,627881.85,43.64,Pending
TXN00135,ORD00135,551571,227192.11,60564.57,23268.71,29303.33,211242.28,38.3,Paid
TXN00136,ORD00136,681304,239836.28,61839.51,34283.09,51594.45,293750.68,43.12,Paid
TXN00137,ORD00137,451701,182302.58,58486.47,19086.83,26343.8,165481.31,36.64,Paid
TXN00138,ORD00138,1508239,607125.78,206881.8,59103.88,98576.97,536550.56,35.57,Paid
TXN00139,ORD00139,806838,314604.33,66242.94,17293.16,63231.98,345465.59,42.82,Pending
TXN00140,ORD00140,686615,318899.58,60138.36,15114.12,23781.0,268681.95,39.13,Pending
TXN00141,ORD00141,1992108,723893.34,204534.86,93826.04,76129.31,893724.46,44.86,Paid
TXN00142,ORD00142,243705,117625.14,32534.95,7152.83,16589.54,69802.54,28.64,Pending
TXN00143,ORD00143,632078,227487.19,73818.0,37638.03,45204.87,247929.9,39.22,Paid
TXN00144,ORD00144,1724314,860505.81,149716.52,38706.7,80486.97,594898.0,34.5,Pending
TXN00145,ORD00145,1239027,537877.13,117115.91,35955.22,38979.02,509099.72,41.09,Paid
TXN00146,ORD00146,2139660,974408.94,272743.59,47817.31,95018.05,749672.12,35.04,Pending
TXN00147,ORD00147,742524,276632.78,96205.04,38328.47,24867.64,306490.07,41.28,Pending
TXN00148,ORD00148,993071,422225.3,88659.47,23338.29,56431.9,402416.05,40.52,Pending
TXN00149,ORD00149,382284,187050.68,47702.04,8508.1,14816.69,124206.49,32.49,Paid
TXN00150,ORD00150,1622694,672325.2,141783.32,52547.4,124882.6,631155.47,38.9,Pending
TXN00151,ORD00151,2759331,1212084.02,365411.56,112698.41,140795.91,928341.1,33.64,Paid
TXN00152,ORD00152,1337295,593077.39,187621.29,78401.19,102489.35,375705.77,28.09,Paid
TXN00153,ORD00153,403868,171535.08,46864.25,21767.15,12303.35,151398.17,37.49,Paid
TXN00154,ORD00154,1501309,593519.47,187910.4,62257.0,90654.64,566967.48,37.76,Pending
TXN00155,ORD00155,1151547,406661.59,108424.68,48315.97,82158.97,505985.8,43.94,Pending
TXN00156,ORD00156,160227,79610.54,23714.62,8846.61,9919.91,38135.32,23.8,Pending
TXN00157,ORD00157,2373147,1092251.5,208695.98,124922.98,88279.18,858997.36,36.2,Paid
TXN00158,ORD00158,1617567,581669.35,182772.6,63023.63,68801.4,721300.03,44.59,Pending
TXN00159,ORD00159,1957240,964097.76,268229.48,85764.95,139647.15,499500.66,25.52,Paid
TXN00160,ORD00160,2992732,1294401.81,374371.28,146999.37,95540.51,1081419.03,36.13,Paid
TXN00161,ORD00161,2512703,968598.27,271452.71,138945.31,86945.2,1046761.5,41.66,Paid
TXN00162,ORD00162,2395118,1143008.45,251171.26,117085.39,107997.44,775855.46,32.39,Pending
TXN00163,ORD00163,151349,64554.23,16711.38,7366.59,7352.17,55364.62,36.58,Pending
TXN00164,ORD00164,1428300,697390.66,152810.42,38676.23,105894.85,433527.85,30.35,Paid
TXN00165,ORD00165,1891637,694642.29,197176.28,42730.82,94081.08,863006.53,45.62,Paid
TXN00166,ORD00166,243519,98118.93,26324.49,12379.81,8973.91,97721.85,40.13,Paid
TXN00167,ORD00167,2136151,927774.89,225743.89,128003.22,85468.74,769160.25,36.01,Paid
TXN00168,ORD00168,1812228,894486.34,250175.26,41697.71,122030.71,503837.98,27.8,Paid
TXN00169,ORD00169,1579150,649486.0,147977.85,89979.11,51203.23,640503.81,40.56,Paid
TXN00170,ORD00170,1243913,499959.74,151205.23,50021.22,76570.68,466156.13,37.47,Paid
TXN00171,ORD00171,515311,203873.64,44417.32,28434.21,28612.13,209973.7,40.75,Pending
TXN00172,ORD00172,1803641,667471.55,180254.75,59007.32,72354.98,824552.4,45.72,Paid
TXN00173,ORD00173,297040,138786.51,36223.87,11590.65,16981.81,93457.15,31.46,Pending
TXN00174,ORD00174,2747418,1056549.37,251610.14,69178.94,145825.39,1224254.16,44.56,Pending
TXN00175,ORD00175,2249260,849189.84,236389.25,128612.72,127209.22,907858.97,40.36,Paid
TXN00176,ORD00176,868752,396405.18,116546.22,32044.31,69321.23,254435.06,29.29,Paid
TXN00177,ORD00177,1915056,947441.66,284078.62,77184.56,103581.29,502769.87,26.25,Pending
TXN00178,ORD00178,115023,44815.36,10219.88,2675.98,5514.11,51797.68,45.03,Paid
TXN00179,ORD00179,2993379,1386071.75,286855.45,178048.62,91844.42,1050558.77,35.1,Pending
TXN00180,ORD00180,2930286,1151486.49,292501.68,83014.21,209556.51,1193727.12,40.74,Pending
TXN00181,ORD00181,945463,378905.49,107678.13,47065.53,64754.58,347059.27,36.71,Paid
TXN00182,ORD00182,2876527,1124322.56,383064.0,134077.64,200706.24,1034356.56,35.96,Paid
TXN00183,ORD00183,741429,334601.15,110687.92,41221.0,26747.32,228171.61,30.77,Pending
TXN00184,ORD00184,2647631,996270.5,386970.11,71342.68,108546.63,1084501.07,40.96,Pending
TXN00185,ORD00185,1617558,730241.65,235125.0,48655.01,81646.32,521890.03,32.26,Pending
TXN00186,ORD00186,1430417,575566.47,184234.55,83273.95,113499.34,473842.7,33.13,Pending
TXN00187,ORD00187,1922129,924751.51,233595.18,65778.34,141104.01,556899.95,28.97,Pending
TXN00188,ORD00188,2942741,1066462.21,413530.27,83816.84,98392.12,1280539.55,43.52,Pending
TXN00189,ORD00189,725000,278120.7,91551.95,43285.3,43475.27,268566.78,37.04,Pending
TXN00190,ORD00190,1260342,518836.8,166225.04,53422.93,99891.04,421966.19,33.48,Paid
TXN00191,ORD00191,2181270,775582.41,190158.76,58408.5,86328.01,1070792.32,49.09,Pending
TXN00192,ORD00192,2640999,1155661.72,298678.03,136181.23,82543.52,967934.51,36.65,Pending
TXN00193,ORD00193,512118,255707.33,61008.73,19609.07,38289.07,137503.81,26.85,Pending
TXN00194,ORD00194,936728,338471.37,99193.03,53350.51,71436.99,374276.1,39.96,Paid
TXN00195,ORD00195,2169257,805951.51,208798.16,74582.15,161994.09,917931.09,42.32,Pending
TXN00196,ORD00196,1779216,826023.45,170720.53,81440.77,73041.22,627990.03,35.3,Paid
TXN00197,ORD00197,2978617,1389488.84,260497.79,89013.44,143397.37,1096219.56,36.8,Paid
TXN00198,ORD00198,1064903,475731.32,150070.87,21853.27,33858.73,383388.82,36.0,Paid
TXN00199,ORD00199,2105722,1008730.78,259887.22,61584.92,118857.97,656661.11,31.18,Pending
TXN00200,ORD00200,2694964,1049828.64,366155.63,102962.39,117178.09,1058839.25,39.29,Pending
TXN00201,ORD00201,1133805,503574.28,128872.08,27004.89,88671.15,385682.6,34.02,Paid
TXN00202,ORD00202,2501749,1180597.57,285253.32,78536.4,194386.56,762975.15,30.5,Pending
TXN00203,ORD00203,2296228,885542.85,270841.81,49934.36,77423.8,1012485.17,44.09,Paid
TXN00204,ORD00204,2541896,1082217.02,329920.84,139076.78,193775.05,796906.31,31.35,Paid
TXN00205,ORD00205,725975,350404.19,79690.37,41862.88,28296.95,225720.61,31.09,Pending
TXN00206,ORD00206,1702897,772832.21,221970.17,60391.08,62510.05,585193.49,34.36,Paid
TXN00207,ORD00207,1887829,741711.91,162214.02,80689.66,135553.58,767659.84,40.66,Pending
TXN00208,ORD00208,2000629,860277.5,241725.81,76060.02,65031.07,757534.6,37.86,Paid
TXN00209,ORD00209,1212972,554594.9,129319.18,28559.01,71087.71,429411.19,35.4,Paid
TXN00210,ORD00210,2516721,1085257.55,322830.75,77296.53,118934.64,912401.54,36.25,Pending
TXN00211,ORD00211,899598,429538.96,97843.23,46366.23,61186.71,264662.86,29.42,Paid
TXN00212,ORD00212,894755,317496.99,126519.84,21401.96,27136.01,402200.19,44.95,Pending
TXN00213,ORD00213,1954226,911389.31,225912.4,74405.34,145548.54,596970.41,30.55,Pending
TXN00214,ORD00214,1222687,564556.97,172703.72,55127.85,91378.87,338919.59,27.72,Pending
TXN00215,ORD00215,2009515,784065.52,169426.92,81047.61,147577.62,827397.33,41.17,Paid
TXN00216,ORD00216,353650,141307.53,43958.38,7256.75,25916.31,135211.01,38.23,Pending
TXN00217,ORD00217,2439159,1116085.67,254196.17,66570.02,160768.78,841538.36,34.5,Paid
TXN00218,ORD00218,1621615,754282.15,171198.23,66245.91,88200.03,541688.68,33.4,Paid
TXN00219,ORD00219,645240,271310.18,67716.37,17005.63,30833.77,258374.05,40.04,Paid
TXN00220,ORD00220,2345804,832341.21,225734.53,91321.33,136775.43,1059631.51,45.17,Pending
TXN00221,ORD00221,928759,435249.4,119026.06,47903.22,44648.29,281932.03,30.36,Paid
TXN00222,ORD00222,1561274,612682.52,228516.91,33513.62,88001.64,598559.32,38.34,Paid
TXN00223,ORD00223,938418,382681.15,136382.84,45217.72,38723.58,335412.72,35.74,Paid
TXN00224,ORD00224,2799103,1015994.68,302407.47,140570.69,191033.21,1149096.95,41.05,Pending
TXN00225,ORD00225,2078652,771481.47,190344.38,101259.09,132156.44,883410.63,42.5,Paid
TXN00226,ORD00226,2768831,1154949.29,288530.35,84650.94,201958.91,1038741.5,37.52,Pending
TXN00227,ORD00227,2353544,867719.04,238630.32,135596.38,172482.03,939116.23,39.9,Paid
TXN00228,ORD00228,322139,157447.6,42011.22,18542.87,24953.28,79184.03,24.58,Paid
TXN00229,ORD00229,828510,387703.39,115179.11,47286.88,37291.84,241048.78,29.09,Pending
TXN00230,ORD00230,829925,399609.31,76478.97,22886.75,30381.65,300568.32,36.22,Paid
TXN00231,ORD00231,2950770,1313763.38,297194.94,148701.87,104498.28,1086611.52,36.82,Pending
TXN00232,ORD00232,737804,262175.93,104430.82,34401.37,39387.94,297407.94,40.31,Pending
TXN00233,ORD00233,1259074,628929.18,141404.91,42510.89,73524.43,372704.59,29.6,Pending
TXN00234,ORD00234,1198108,477451.77,178543.9,68917.3,64429.34,408765.69,34.12,Pending
TXN00235,ORD00235,607767,280571.92,60514.82,23702.83,28873.22,214104.2,35.23,Pending
TXN00236,ORD00236,1049673,396308.34,131325.51,25771.0,73191.75,423076.4,40.31,Pending
TXN00237,ORD00237,331796,128259.3,46991.29,12272.61,20349.67,123923.14,37.35,Pending
TXN00238,ORD00238,808640,335565.06,106422.03,42878.87,36799.21,286974.84,35.49,Pending
TXN00239,ORD00239,2256199,923946.34,210251.59,132949.77,89231.8,899819.51,39.88,Pending
TXN00240,ORD00240,1625287,777278.13,202100.15,43191.01,114548.82,488168.89,30.04,Paid
TXN00241,ORD00241,1312592,531887.86,123514.22,43837.07,97866.27,515486.57,39.27,Pending
TXN00242,ORD00242,604590,241245.63,84206.83,17013.59,43090.39,219033.56,36.23,Paid
TXN00243,ORD00243,448449,174363.75,66977.82,16189.71,18747.11,172170.61,38.39,Pending
TXN00244,ORD00244,950412,424311.96,84314.91,36637.2,61563.03,343584.9,36.15,Pending
TXN00245,ORD00245,1950776,683999.61,258255.82,83938.17,155246.49,769335.91,39.44,Pending
TXN00246,ORD00246,1589398,728104.64,168054.32,89449.75,117615.22,486174.08,30.59,Paid
TXN00247,ORD00247,943425,466785.98,136423.14,46559.68,35891.93,257764.26,27.32,Paid
TXN00248,ORD00248,1626868,628146.71,182382.17,56222.38,101607.16,658509.58,40.48,Paid
TXN00249,ORD00249,2242564,1002063.95,288298.61,79560.02,93566.72,779074.7,34.74,Pending
TXN00250,ORD00250,2064694,971183.04,250812.03,100944.34,67329.06,674425.52,32.66,Pending
TXN00251,ORD00251,980914,416389.7,109269.54,22776.53,77102.87,355375.35,36.23,Paid
TXN00252,ORD00252,1809660,739810.94,147334.91,38977.28,127971.56,755565.31,41.75,Pending
TXN00253,ORD00253,2788568,1102307.18,361953.72,62141.18,96328.82,1165837.1,41.81,Pending
TXN00254,ORD00254,1373940,579446.93,180098.25,81591.65,63461.32,469341.84,34.16,Paid
TXN00255,ORD00255,836073,365272.55,101931.07,22047.64,51473.16,295348.58,35.33,Paid
TXN00256,ORD00256,2689419,1180396.69,335709.8,61271.16,152675.24,959366.12,35.67,Paid
TXN00257,ORD00257,696144,263780.21,61432.39,30139.71,49252.54,291539.15,41.88,Pending
TXN00258,ORD00258,579474,269402.53,57155.53,27350.14,26249.42,199316.38,34.4,Paid
TXN00259,ORD00259,2545060,1256992.63,235991.16,110849.42,103620.53,837606.26,32.91,Pending
TXN00260,ORD00260,2660728,1005984.31,360100.43,118034.65,102063.88,1074544.72,40.39,Pending
TXN00261,ORD00261,2089383,933551.99,201503.82,53715.06,81449.49,819162.64,39.21,Paid
TXN00262,ORD00262,1921298,841069.46,232164.06,80069.54,65595.65,702399.29,36.56,Pending
TXN00263,ORD00263,1731112,798035.72,210365.61,65187.81,97099.51,560423.35,32.37,Paid
TXN00264,ORD00264,2004616,788953.54,250087.88,69464.49,76779.41,819330.68,40.87,Paid
TXN00265,ORD00265,1658607,647302.71,151380.37,88774.78,130040.38,641108.76,38.65,Pending
TXN00266,ORD00266,1226092,584612.78,162595.41,24855.64,59514.65,394513.53,32.18,Paid
TXN00267,ORD00267,2265267,1016372.48,272071.85,126246.17,127724.74,722851.76,31.91,Pending
TXN00268,ORD00268,2141956,1052022.0,272370.09,76849.82,74107.73,666606.36,31.12,Pending
TXN00269,ORD00269,677321,276203.55,101232.79,18318.7,40399.04,241166.92,35.61,Paid
TXN00270,ORD00270,517810,183767.29,74043.68,26154.11,30149.04,203695.88,39.34,Paid
TXN00271,ORD00271,1457698,696484.5,147619.36,65836.98,93377.92,454379.24,31.17,Pending
TXN00272,ORD00272,1410682,516745.36,139944.32,76416.23,90428.72,587147.37,41.62,Pending
TXN00273,ORD00273,2255128,1086897.81,304441.24,61860.93,74068.34,727859.68,32.28,Pending
TXN00274,ORD00274,371225,166866.2,46879.41,19377.14,26109.76,111992.5,30.17,Paid
TXN00275,ORD00275,1323241,632672.69,166929.89,69333.51,84701.03,369603.88,27.93,Paid
TXN00276,ORD00276,2229337,877511.25,290131.5,55350.73,150508.34,855835.18,38.39,Pending
TXN00277,ORD00277,102699,46962.36,8813.16,5422.48,7869.16,33631.84,32.75,Pending
TXN00278,ORD00278,2628277,1116814.76,375048.29,60339.05,122553.7,953521.2,36.28,Paid
TXN00279,ORD00279,2244725,1050499.04,265711.84,73074.03,146521.98,708918.12,31.58,Pending
TXN00280,ORD00280,160692,62742.41,17630.92,9186.5,5672.8,65459.39,40.74,Pending
TXN00281,ORD00281,1265917,580312.43,178183.74,35122.05,90896.12,381402.65,30.13,Paid
TXN00282,ORD00282,2733657,1268625.32,264870.52,119667.38,187503.18,892990.6,32.67,Pending
